time,time_err,time_unit,band,flux_density,flux_density_err,flux_density_unit,mag_system,Gext_corr,upperlimit,Gext_Alambda,mag_Gextcor,mag_Gextcor_err,flux_density_Gextcor,flux_density_Gextcor_err,flux_density_Gextcor_unit,weights,discard,telescope,instrument,reference,comment
407.5,0.0,s,R,18.5,0.0,mag,Vega,y,y,4.199529684348056,14.476470315651943,,5.880823194640415,,mJy,1.0,n,TAROT(25cm),ANDOR-IKON-L936-BEX2-DD,Dainotti2024;2905,
803.2,0.0,s,Ks,16.901648626366047,0.2296346886704299,mag,AB,y,n,0.5729009825728645,16.328747643793182,0.2296346886704299,1.067891651678653,0.22586054134724895,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
803.2,0.0,s,J,20.647425010840045,2.7466093145426385,mag,AB,y,n,1.5817050780119255,19.06571993282812,2.7466093145426385,0.08584959995910564,0.21717550714813572,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
803.2,0.0,s,H,16.35741665175305,0.0726184384220545,mag,AB,y,n,0.9718811287653548,15.385535522987693,0.0726184384220545,2.545728236838056,0.17026862362694506,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
811.45,0.0,s,Ks,18.534679910804407,1.2868436058140773,mag,AB,y,n,0.5729009825728645,17.961778928231542,1.2868436058140773,0.2373092559285894,0.2812652808793748,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
811.45,0.0,s,J,17.36804035820066,0.1945278246806054,mag,AB,y,n,1.5817050780119255,15.786335280188734,0.1945278246806054,1.759916799161665,0.31531856915100187,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
815.4,0.0,s,Ks,17.74400500525261,0.0463960231653857,mag,AB,y,n,0.5729009825728645,17.171104022679746,0.0463960231653857,0.49156917299493547,0.021005889494808937,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
819.4,0.0,s,Ks,17.291368308784534,0.4404076378383479,mag,AB,y,n,0.5729009825728645,16.71846732621167,0.4404076378383479,0.74582909006128,0.30253097054839956,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
819.4,0.0,s,H,18.043943297944487,1.1371121500212773,mag,AB,y,n,0.9718811287653548,17.072062169179134,1.1371121500212773,0.5385194347157394,0.5640016327670243,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
839.35,0.0,s,Ks,17.671595765414317,0.5869488481706853,mag,AB,y,n,0.5729009825728645,17.098694782841452,0.5869488481706853,0.5254704952704493,0.2840692799917985,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
839.35,0.0,s,J,18.615141619232908,0.9006822794235454,mag,AB,y,n,1.5817050780119255,17.033436541220983,0.9006822794235454,0.5580223997341857,0.46291252401769917,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
839.35,0.0,s,H,17.603715150305284,0.5402465754082684,mag,AB,y,n,0.9718811287653548,16.63183402153993,0.5402465754082684,0.8077791520736092,0.40193918069737705,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
847.6500000000001,0.0,s,J,21.4,3.179604016341244,mag,AB,y,n,1.5817050780119255,19.818294921988073,3.179604016341244,0.04292479997955281,0.12570628649712876,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
847.6500000000001,0.0,s,Ks,18.389700043360182,1.0295751725011897,mag,AB,y,n,0.5729009825728645,17.816799060787318,1.0295751725011897,0.2712105782041039,0.25718187955318517,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
855.55,0.0,s,Ks,16.802877273156863,0.0763970642357811,mag,AB,y,n,0.5729009825728645,16.229976290584,0.0763970642357811,1.1695956185051912,0.08229777288925778,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
855.55,0.0,s,H,16.6697634932738,0.1014276660766597,mag,AB,y,n,0.9718811287653548,15.697882364508443,0.1014276660766597,1.9092961776285422,0.17836326567841712,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
875.5,0.0,s,H,17.049093276264394,0.2091554082333644,mag,AB,y,n,0.9718811287653548,16.07721214749904,0.2091554082333644,1.3462985867893478,0.2593499500982899,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
875.5,0.0,s,Ks,17.36804035820066,0.4288680073779964,mag,AB,y,n,0.5729009825728645,16.795139375627794,0.4288680073779964,0.6949771066480144,0.2745173695003169,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
875.5,0.0,s,J,19.01439372640169,1.2703887211490752,mag,AB,y,n,1.5817050780119255,17.432688648389764,1.2703887211490752,0.386323199815974,0.4520256703365304,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
883.8,0.0,s,H,16.86771660839286,0.1233085055452392,mag,AB,y,n,0.9718811287653548,15.895835479627506,0.1233085055452392,1.591080148023784,0.18070108963458306,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
883.8,0.0,s,J,18.389700043360182,0.8055482368347953,mag,AB,y,n,1.5817050780119255,16.807994965348257,0.8055482368347953,0.6867967996728482,0.5095601939179053,mJy,1.0,n,PAIRITEL(1.3m),2MASS-3-Band-NIC,Dainotti2024;Blake2005,
