#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250129A   |   1285812    | 1.622595e-08 | 1.361413e-08 | 1.890079e-08 | 2.517329e-08 | 2.222798e-08 | 2.811707e-08 | 2.936027e-08 | 2.415795e-08 | 3.462342e-08 | 1.938787e-08 | 1.452914e-08 | 2.482790e-08 | 6.600396e-08 | 4.561209e-08 | 9.146396e-08 | 9.014673e-08 | 7.771413e-08 | 1.027969e-07 | 1.367540e-07 | 1.100931e-07 | 1.673632e-07 | 1 | 184.120000 | 185.120000 |  
GRB250128B   |   1285677    | 5.926114e-09 | 3.697515e-09 | 8.450453e-09 | 1.271306e-08 | 9.607713e-09 | 1.571701e-08 | 2.141657e-08 | 1.597828e-08 | 2.670484e-08 | 1.879923e-08 | 1.189954e-08 | 2.663054e-08 | 8.256196e-08 | 4.407071e-08 | 1.391297e-07 | 5.885454e-08 | 4.542030e-08 | 7.241524e-08 | 1.226168e-07 | 7.954997e-08 | 1.807507e-07 | 1 | -0.226000 | 0.774000 |  
GRB250114A   |   1281241    | 1.565237e-08 | 9.706888e-09 | 2.212789e-08 | 2.806532e-08 | 2.045832e-08 | 3.559426e-08 | 3.860291e-08 | 2.682625e-08 | 5.038717e-08 | 2.898945e-08 | 1.717750e-08 | 4.279569e-08 | 1.101920e-07 | 5.600670e-08 | 1.897405e-07 | 1.113089e-07 | 8.140292e-08 | 1.415566e-07 | 1.924243e-07 | 1.242854e-07 | 2.790037e-07 | 1 | 1.732000 | 2.732000 |  
GRB250108B   |   1280056    | 3.897266e-09 | 1.910997e-09 | 6.271624e-09 | 1.017373e-08 | 6.702858e-09 | 1.339152e-08 | 2.135551e-08 | 1.588181e-08 | 2.666859e-08 | 2.214726e-08 | 1.374896e-08 | 3.170735e-08 | 1.149979e-07 | 5.764213e-08 | 2.114511e-07 | 5.757315e-08 | 4.324541e-08 | 7.194987e-08 | 1.504215e-07 | 8.960247e-08 | 2.457593e-07 | 1 | 1.556000 | 2.556000 |  
GRB250103B   |   1278865    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |  
GRB250101A   |   1278305    | 7.457101e-09 | 4.595471e-09 | 1.063604e-08 | 1.554462e-08 | 1.132896e-08 | 1.970743e-08 | 2.535362e-08 | 1.835017e-08 | 3.232734e-08 | 2.171151e-08 | 1.367540e-08 | 3.080917e-08 | 9.311722e-08 | 5.040458e-08 | 1.539430e-07 | 7.006643e-08 | 5.208828e-08 | 8.823076e-08 | 1.415598e-07 | 9.145132e-08 | 2.056696e-07 | 1 | 0.952000 | 1.952000 |  
GRB241229B   |   1277428    | 4.401594e-08 | 3.848487e-08 | 4.970156e-08 | 7.631677e-08 | 6.982806e-08 | 8.279612e-08 | 1.010416e-07 | 9.031086e-08 | 1.117172e-07 | 7.366649e-08 | 6.235482e-08 | 8.554409e-08 | 2.728098e-07 | 2.188719e-07 | 3.338105e-07 | 2.950394e-07 | 2.685283e-07 | 3.216844e-07 | 4.941969e-07 | 4.293288e-07 | 5.642220e-07 | 1 | -0.056000 | 0.944000 |  
GRB241228A   |   1277277    | 1.460394e-07 | N/A | N/A | 2.537698e-07 | N/A | N/A | 3.368372e-07 | N/A | N/A | 2.460594e-07 | N/A | N/A | 9.127882e-07 | N/A | N/A | 9.826978e-07 | N/A | N/A | 1.649415e-06 | N/A | N/A | 1 | 1.944000 | 2.944000 |  
GRB241218A   |   1275005    | 5.155491e-09 | 2.421196e-09 | 8.405818e-09 | 1.105554e-08 | 6.756472e-09 | 1.529150e-08 | 1.861658e-08 | 1.178311e-08 | 2.541382e-08 | 1.633578e-08 | 8.558743e-09 | 2.542436e-08 | 7.171995e-08 | 3.054710e-08 | 1.383694e-07 | 5.116347e-08 | 3.344029e-08 | 6.906691e-08 | 1.063629e-07 | 5.796689e-08 | 1.749444e-07 | 1 | 8.888000 | 9.888000 |  
GRB241213A   |   1274039    | 6.865782e-08 | 6.268303e-08 | 7.480661e-08 | 1.767014e-07 | 1.671899e-07 | 1.861616e-07 | 3.650732e-07 | 3.471203e-07 | 3.829746e-07 | 3.741192e-07 | 3.465373e-07 | 4.022814e-07 | 1.918625e-06 | 1.715932e-06 | 2.136732e-06 | 9.845550e-07 | 9.368067e-07 | 1.032405e-06 | 2.529065e-06 | 2.315528e-06 | 2.756005e-06 | 1 | 0.036000 | 1.036000 |  
GRB241209D   |   1273106    | 1.473160e-08 | 1.137313e-08 | 1.825618e-08 | 2.749350e-08 | 2.317768e-08 | 3.178996e-08 | 3.957492e-08 | 3.160967e-08 | 4.750070e-08 | 3.078293e-08 | 2.208361e-08 | 4.042314e-08 | 1.207591e-07 | 7.801714e-08 | 1.756143e-07 | 1.125823e-07 | 9.303792e-08 | 1.323884e-07 | 2.025396e-07 | 1.512899e-07 | 2.635603e-07 | 1 | 8.380000 | 9.380000 |  
GRB241209A   |   1273071    | 4.454716e-09 | 2.309192e-09 | 7.074895e-09 | 1.228401e-08 | 8.153799e-09 | 1.633315e-08 | 2.740880e-08 | 2.091944e-08 | 3.385946e-08 | 2.975843e-08 | 2.011731e-08 | 4.015411e-08 | 1.621847e-07 | 9.176773e-08 | 2.666122e-07 | 7.390605e-08 | 5.640271e-08 | 9.141343e-08 | 2.063336e-07 | 1.320140e-07 | 3.096920e-07 | 1 | -0.412000 | 0.588000 |  
GRB241128A   |   1270999    | 1.091491e-08 | 7.152206e-09 | 1.494617e-08 | 1.943435e-08 | 1.488915e-08 | 2.394859e-08 | 2.651917e-08 | 1.790730e-08 | 3.520303e-08 | 1.979293e-08 | 1.099917e-08 | 3.068174e-08 | 7.482556e-08 | 3.492690e-08 | 1.378034e-07 | 7.666021e-08 | 5.615908e-08 | 9.787460e-08 | 1.316922e-07 | 8.198794e-08 | 2.003641e-07 | 1 | 2.884000 | 3.884000 |  
