recno,ID,z,S,e_S,E_S,Tp1024,Fp1024,e_Fp1024,E_Fp1024,Tp64,Fp64,e_Fp64,E_Fp64,Tp64r,Fp63r,e_Fp63r,E_Fp63r,Eiso,e_Eiso,E_Eiso,Liso,e_Liso,E_Liso
108,"GRB120815A",2.358,4.98,0.9,0.94,0.32,1.25,0.28,0.28,0.488,3.71,1.02,1.04,0.522,2.44,0.61,0.63,10.5,1.9,1.99,14.16,3.56,3.64
109,"GRB120907A",0.97,9.65,2.15,2.7,0.296,3.22,0.64,0.92,1.0,5.57,1.65,2.0,0.857,4.62,1.19,1.52,3.09,0.69,0.86,2.96,0.76,0.97
110,"GRB120909A",3.93,228.0,20.9,20.9,38.864,8.44,1.43,1.42,36.096,16.9,4.93,4.92,35.622,10.3,2.33,2.32,1018.0,93.22,93.22,288.8,65.18,64.95
111,"GRB120922A",3.1,98.4,11.2,10.8,102.664,2.02,0.45,0.3,104.216,3.3,0.9,0.72,103.621,2.42,0.59,0.43,282.1,32.14,30.86,32.19,7.86,5.76
112,"GRB121024A",2.298,34.3,6.84,6.98,0.728,5.56,1.23,1.25,1.176,13.6,3.88,3.92,1.139,10.0,2.44,2.48,50.48,10.06,10.27,48.59,11.86,12.03
113,"GRB121201A",3.385,12.8,3.12,4.08,22.0,1.04,0.41,0.63,19.16,2.99,1.31,1.9,22.346,1.52,0.65,0.96,44.88,10.9,14.26,18.51,7.9,11.62
114,"GRB121211A",1.023,7.46,1.39,1.62,1.232,1.88,0.53,0.57,1.064,4.13,1.68,1.74,0.403,3.33,1.21,1.27,2.56,0.48,0.56,2.3,0.84,0.88
115,"GRB130131B",2.539,8.27,2.11,2.71,0.072,1.98,0.58,0.71,4.064,5.91,1.99,2.33,3.958,3.8,1.15,1.39,13.51,3.45,4.42,21.97,6.68,8.05
116,"GRB130420A",1.297,105.0,8.66,6.85,111.0,3.0,0.31,0.28,111.912,4.41,0.73,0.7,109.556,4.05,0.54,0.51,74.66,6.17,4.88,5.46,0.73,0.68
117,"GRB130427B",2.78,16.7,2.21,2.49,0.712,3.71,0.51,0.57,3.08,6.36,1.61,1.67,2.875,4.98,0.89,0.95,35.06,4.65,5.24,39.61,7.08,7.58
118,"GRB130511A",1.3033,2.61,0.74,1.05,0.016,0.98,0.28,0.39,0.144,4.77,1.48,2.02,0.149,3.51,1.06,1.46,1.37,0.39,0.55,4.23,1.28,1.77
119,"GRB130514A",3.6,172.0,14.1,17.1,13.384,4.78,0.47,0.52,10.624,7.21,1.29,1.33,10.624,5.05,0.66,0.7,615.3,50.6,61.31,75.29,9.9,10.42
120,"GRB130604A",1.06,41.8,6.24,6.99,2.368,2.65,0.66,0.69,4.432,6.32,2.28,2.34,3.949,5.79,1.73,1.8,13.75,2.05,2.3,3.78,1.13,1.18
121,"GRB130606A",5.91,89.5,22.2,21.8,160.336,8.0,0.96,0.96,163.184,11.2,2.0,2.0,160.742,8.64,1.12,1.12,850.6,210.9,207.2,463.3,59.89,60.0
122,"GRB130610A",2.092,48.4,6.52,7.18,6.0,3.07,0.36,0.39,6.752,5.25,1.03,1.07,1.368,3.89,0.63,0.66,56.45,7.61,8.38,13.83,2.25,2.35
123,"GRB130612A",2.006,3.79,0.82,0.96,0.168,1.51,0.4,0.51,1.096,3.38,1.16,1.36,0.338,2.31,0.73,0.88,4.86,1.05,1.23,9.61,3.06,3.67
124,"GRB131004A",0.717,7.21,2.03,1.41,0.8,4.12,1.17,0.83,0.008,11.4,3.41,2.53,0.024,11.2,3.27,2.36,1.38,0.39,0.27,3.68,1.07,0.77
125,"GRB131103A",0.5955,10.8,2.17,5.94,0.024,2.06,0.75,0.77,0.624,5.16,2.18,2.23,0.256,3.89,1.59,1.62,1.48,0.3,0.82,0.88,0.36,0.37
126,"GRB131227A",5.3,20.4,4.25,6.04,1.344,2.12,0.48,0.66,1.688,3.81,1.24,1.48,1.861,2.35,0.59,0.77,112.5,23.39,33.25,81.63,20.64,26.84
127,"GRB140114A",3.0,52.4,6.83,8.91,116.0,0.89,0.19,0.18,90.984,2.54,0.69,0.66,90.984,1.27,0.33,0.31,159.9,20.85,27.21,13.15,3.36,3.2
128,"GRB140304A",5.283,25.0,6.16,7.84,10.184,3.24,0.93,0.93,1.144,4.74,1.57,1.58,1.22,3.52,1.03,1.04,153.5,37.87,48.17,159.3,46.78,46.97
