recno,ID,NumID,Time,z,f_z,r_z,Com,t0,T100,_RA,_DE
81,"GRB091018 ",373172,"20:48:19.585",0.971,"s  "," 44", ,-0.376,5.184,32.19167,-57.55
82,"GRB091029 ",374210,"03:53:22.596",2.752,"s  "," 45", ,-10.176,50.432,60.16667,-55.95353
83,"GRB091109A",375246,"04:57:43.364",3.076,"s  "," 46", ,-0.824,24.832,309.25208,-44.17667
84,"GRB100316A",416076,"02:23:00.430",3.155,"s  "," 47", ,-1.032,7.04,251.9815,71.82778
85,"GRB100316B",416103,"08:01:36.973",1.18,"s  "," 48", ,-0.36,4.672,163.5,-45.46667
86,"GRB100615A",424733,"01:59:03.995",1.398,"s  "," 49", ,-0.08,47.488,177.20521,-19.48117
87,"GRB100728B",430172,"10:31:55.829",2.106,"s  "," 50", ,-1.712,14.912,44.056,0.281
88,"GRB100901A",433065,"13:34:10.376",1.408,"s  "," 51", ,-2.776,444.8,27.26483,22.7585
89,"GRB101219B",440635,"16:27:53.520",0.5519,"s  "," 52", ,15.72,26.496,12.23062,-34.56653
90,"GRB110106B",441676,"21:26:17.014",0.618,"s  "," 53", ,-3.008,24.448,134.15417,47.00278
91,"GRB110128A",443861,"01:44:33.009",2.339,"s  "," 54", ,-2.56,24.32,193.89625,28.06503
92,"GRB110205A",444643,"02:02:41.367",2.22,"s  "," 55", ,21.416,356.544,164.62967,67.52533
93,"GRB110726A",458059,"01:30:40.550",1.036,"s  "," 56",4,-0.064,3.776,286.71754,56.07122
94,"GRB110801A",458521,"19:49:42.991",1.858,"s  "," 57", ,-24.232,412.16,89.43696,80.95586
95,"GRB110818A",500914,"20:37:49.206",3.36,"s  "," 58", ,-13.048,77.44,317.33704,-63.98106
96,"GRB111107A",507185,"00:50:24.005",2.893,"s  "," 59", ,-0.064,37.44,129.47775,-66.52008
97,"GRB111123A",508319,"18:13:21.100",3.1516,"s  "," 60", ,-8.216,286.336,154.84654,-20.64497
98,"GRB111225A",510341,"03:50:37.792",0.297,"s  "," 61", ,-8.72,82.496,13.15508,51.57208
99,"GRB120118B",512003,"17:00:21.195",2.943,"s  "," 62", ,-0.824,26.496,124.87104,-7.18475
100,"GRB120326A",518626,"01:20:29.280",1.798,"s  "," 63", ,-70.992,88.576,273.90442,69.25983
101,"GRB120327A",518731,"02:55:16.636",2.813,"s  "," 64", ,-15.992,83.136,246.86454,-29.41494
102,"GRB120404A",519380,"12:51:02.399",2.876,"s  "," 65", ,-5.096,42.624,235.00954,12.88508
103,"GRB120521C",522656,"23:22:07.703",6.0,"p  "," 66", ,-1.472,38.4,214.28792,42.14439
104,"GRB120712A",526351,"13:42:27.382",4.1745,"s  "," 67", ,-4.6,22.272,169.58817,-20.03364
105,"GRB120722A",528195,"12:53:26.546",0.9586,"s  "," 68", ,-2.968,38.208,230.49167,13.25028
106,"GRB120802A",529486,"08:00:51.628",3.796,"s  "," 69", ,-1.04,17.984,44.84183,13.76806
107,"GRB120811C",530689,"15:34:52.170",2.671,"s  "," 70", ,-9.656,34.688,199.68258,62.30078
108,"GRB120815A",531003,"02:13:58.782",2.358,"s  "," 71", ,-0.216,7.872,273.97667,-52.12472
109,"GRB120907A",532871,"00:24:23.082",0.97,"s  "," 72", ,-0.024,7.104,74.74996,-9.31492
110,"GRB120909A",533060,"01:42:03.235",3.93,"s  "," 73", ,-40.512,125.76,275.73671,-59.44858
111,"GRB120922A",534394,"22:30:28.657",3.1,"p  "," 74", ,-22.568,171.776,234.74862,-20.18194
112,"GRB121024A",536580,"02:56:12.478",2.298,"s  "," 75", ,-8.296,12.096,70.47212,-12.29058
113,"GRB121201A",540178,"12:25:42.065",3.385,"s  "," 77", ,-24.088,30.72,13.46754,-42.94292
114,"GRB121211A",541200,"13:47:02.795",1.023,"s  "," 78", ,-2.776,7.008,195.53329,30.1485
115,"GRB130131B",547420,"19:10:08.907",2.539,"s  "," 79", ,-0.288,4.736,173.95667,15.03314
116,"GRB130420A",553977,"07:28:29.538",1.297,"s  "," 80", ,-24.728,207.36,196.10621,59.42411
117,"GRB130427B",554635,"13:20:41.799",2.78,"s  "," 81",5,-0.632,30.144,314.9,-22.54767
118,"GRB130511A",555600,"11:30:47.442",1.3033,"s  "," 82", ,-0.048,3.328,196.64537,18.70994
119,"GRB130514A",555821,"07:13:41.063",3.6,"p  "," 83", ,-7.68,281.344,296.28054,-7.97808
120,"GRB130604A",557354,"06:54:26.998",1.06,"s  "," 84", ,-0.624,34.816,250.16625,68.22456
121,"GRB130606A",557589,"21:04:39.020",5.91,"s  "," 85", ,-1.104,165.97,249.39633,29.79622
122,"GRB130610A",557845,"03:12:13.344",2.092,"s  "," 86", ,-6.688,67.688,224.42046,28.20717
123,"GRB130612A",557976,"03:22:22.168",2.006,"s  "," 87", ,-0.504,3.264,259.79429,16.71994
124,"GRB131004A",573190,"21:41:03.688",0.717,"s  "," 88", ,-0.248,1.344,296.11333,-2.95861
125,"GRB131103A",576562,"22:07:25.794",0.5955,"s  "," 89", ,-8.784,15.76,348.91896,-44.64039
126,"GRB131227A",582184,"04:44:51.212",5.3,"s  "," 90", ,-1.064,20.288,67.37825,28.88311
127,"GRB140114A",583861,"11:57:40.482",3.0,"s  "," 91", ,24.296,141.056,188.52125,27.95072
128,"GRB140304A",590206,"13:22:31.098",5.283,"s  "," 92", ,-3.912,19.456,30.64125,33.47442
129,"GRB140311A",591390,"21:05:16.252",4.954,"s  "," 93", ,-4.44,85.184,209.30537,0.64214
130,"GRB140423A",596901,"08:31:53.262",3.26,"s  "," 94", ,-67.472,182.08,197.27583,49.83842
131,"GRB140430A",597722,"20:33:36.527",1.6,"s  "," 95", ,-0.344,29.864,102.93575,23.02375
132,"GRB140509A",598497,"02:22:13.613",2.4,"p  "," 96", ,-3.312,29.312,46.59496,-62.63914
133,"GRB140518A",599287,"09:17:46.631",4.707,"s  "," 97", ,-4.632,64.704,227.2525,42.41822
134,"GRB140614A",601646,"01:04:59.864",4.233,"s  "," 98", ,-96.6,184.768,231.16954,-79.12883
135,"GRB140629A",602884,"14:17:30.327",2.275,"s  "," 99", ,-6.184,26.304,248.97683,41.87686
136,"GRB140703A",603243,"00:37:17.064",3.14,"s  ","100", ,-14.128,86.208,12.99579,45.1015
137,"GRB140710A",603954,"10:16:40.041",0.558,"s  ","101", ,-0.176,1.728,41.06775,35.49908
138,"GRB140907A",611933,"16:07:08.847",1.21,"s  ","102", ,-16.176,55.552,48.14575,46.60478
139,"GRB141004A",614390,"23:20:54.395",0.573,"s  ","103", ,-0.864,6.208,76.73379,12.81947
140,"GRB141109A",618024,"05:49:55.236",2.993,"s  ","104", ,-0.664,179.584,144.53083,-0.60794
141,"GRB141225A",622476,"23:01:07.035",0.915,"s  ","105", ,4.904,28.352,138.77821,33.79192
142,"GRB150301B",633180,"19:38:04.028",1.5169,"s  ","106", ,-0.328,24.384,89.16683,-57.96956
143,"GRB150413A",637899,"13:54:58.559",3.139,"s  ","107", ,-90.648,300.352,190.39625,71.83942
144,"GRB150818A",652603,"11:36:32.926",0.282,"s  ","108", ,-26.112,184.256,230.35621,68.342
145,"GRB150910A",655097,"09:04:48.886",1.359,"s  ","109", ,32.616,90.752,5.66725,33.47289
146,"GRB151111A",663074,"08:33:23.417",3.5,"p  ","110", ,-5.128,90.752,56.84483,-44.1615
147,"GRB151112A",663179,"13:44:48.084",4.1,"p  ","111", ,-0.064,14.784,2.0535,-61.66325
148,"GRB151215A",667392,"03:01:28.957",2.59,"s  ","112", ,-0.216,3.264,93.58417,35.51619
149,"GRB160121A",671231,"13:50:37.711",1.96,"s  ","113", ,-0.016,12.864,109.08812,-23.59217
150,"GRB160227A",676423,"19:32:08.096",2.38,"s  ","114", ,-20.056,287.168,194.80712,78.67919
151,"GRB160327A",680655,"09:16:07.705",4.99,"s  ","115", ,-6.4,42.176,146.70233,54.01289
152,"GRB161017A",718023,"17:51:51.170",2.013,"s  ","116", ,-4.632,240.832,142.76887,43.12639
153,"GRB161108A",721234,"03:32:33.177",1.159,"s  ","117", ,-4.296,130.048,180.78792,24.86819
154,"GRB161219B",727541,"18:48:39.308",0.1475,"s  ","118", ,-0.536,7.04,91.714,-26.79158
155,"GRB170113A",732526,"10:04:05.482",1.968,"s  ","119", ,-0.608,23.672,61.74583,-71.93333
156,"GRB170202A",736407,"18:28:02.373",3.645,"s  ","120", ,0.328,50.744,152.525,5.01667
157,"GRB170531B",755354,"22:02:09.206",2.366,"s  ","121", ,-0.056,171.904,286.88329,-16.41925
