#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XXkeV: Photon flux in XX - XX keV, with unit of (number of photons)/cm^2/s.
## XX_XXkeV_low: The lower limit of photon flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of photon flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250128B   |   1285677    | 3.876310e-01 | 2.814480e-01 | 5.037110e-01 | 4.391990e-01 | 3.624730e-01 | 5.053980e-01 | 3.560870e-01 | 2.899860e-01 | 4.207060e-01 | 1.759280e-01 | 1.494120e-01 | 2.302860e-01 | 4.789620e-01 | 4.067540e-01 | 6.890920e-01 | 1.358900e+00 | 1.148420e+00 | 1.569820e+00 | 1.662090e+00 | 1.411570e+00 | 1.926650e+00 | 0.584 | -0.020000 | 0.564000 |  
GRB250114A   |   1281241    | 5.700990e-02 | 4.843330e-02 | 6.575570e-02 | 6.905730e-02 | 6.356510e-02 | 7.467070e-02 | 3.654820e-02 | 3.246790e-02 | 4.058260e-02 | 6.163920e-03 | 3.838290e-03 | 9.027370e-03 | 7.528250e-03 | 4.303440e-03 | 1.254100e-02 | 1.687790e-01 | 1.560170e-01 | 1.815690e-01 | 1.701440e-01 | 1.568900e-01 | 1.836720e-01 | 314.5 | -8.528000 | 305.988000 |  
GRB250108B   |   1280056    | 2.981150e-02 | 2.473950e-02 | 3.508880e-02 | 2.788810e-02 | 2.505640e-02 | 3.071940e-02 | 1.809050e-02 | 1.546590e-02 | 2.069060e-02 | 7.463350e-03 | 6.705720e-03 | 9.285540e-03 | 1.807810e-02 | N/A | N/A | 8.325510e-02 | 7.465810e-02 | 9.185300e-02 | 9.641430e-02 | 7.870310e-02 | 1.065640e-01 | 281.3 | -63.136000 | 218.208000 |  
GRB250103B   |   1278865    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |  
GRB250101A   |   1278305    | 1.334010e-01 | 1.075080e-01 | 1.592160e-01 | 1.036220e-01 | 8.769050e-02 | 1.211400e-01 | 4.326130e-02 | 3.076830e-02 | 5.451240e-02 | 8.919150e-03 | 2.352710e-03 | 1.829810e-02 | 1.272660e-02 | 0.000000e+00 | 4.255000e-02 | 2.892040e-01 | 2.513640e-01 | 3.270750e-01 | 2.930120e-01 | 2.528510e-01 | 3.406170e-01 | 36.71 | -0.224000 | 36.488000 |  
GRB241229B   |   1277428    | 5.755890e-01 | 4.901400e-01 | 6.627440e-01 | 6.319200e-01 | 5.809970e-01 | 6.839820e-01 | 3.834240e-01 | 3.459890e-01 | 4.214350e-01 | 1.046230e-01 | 7.633050e-02 | 1.348640e-01 | 1.579780e-01 | 9.972050e-02 | 2.500760e-01 | 1.695560e+00 | 1.568970e+00 | 1.822190e+00 | 1.748910e+00 | 1.606420e+00 | 1.900880e+00 | 5.996 | -2.616000 | 3.380000 |  
GRB241228A   |   1277277    | 1.602680e+00 | 1.484500e+00 | 1.723120e+00 | 1.703950e+00 | 1.643470e+00 | 1.764960e+00 | 9.753110e-01 | 9.355410e-01 | 1.015350e+00 | 2.455230e-01 | 2.142560e-01 | 2.775590e-01 | 3.574660e-01 | 2.913320e-01 | 4.378500e-01 | 4.527460e+00 | 4.365540e+00 | 4.689950e+00 | 4.639400e+00 | 4.459410e+00 | 4.823790e+00 | 9.94 | -5.160000 | 4.780000 |  
GRB241218A   |   1275005    | 5.674590e-02 | 3.307330e-02 | 8.216030e-02 | 8.304620e-02 | 6.629770e-02 | 1.001400e-01 | 6.885370e-02 | 5.500370e-02 | 8.328840e-02 | 2.391560e-02 | 1.328530e-02 | 3.557370e-02 | 3.849340e-02 | 1.648480e-02 | 9.196830e-02 | 2.325580e-01 | 1.907240e-01 | 2.744400e-01 | 2.471940e-01 | 1.980540e-01 | 3.115460e-01 | 27.98 | -1.824000 | 26.160000 |  
GRB241213A   |   1274039    | 5.701720e-01 | 5.210570e-01 | 6.204890e-01 | 7.884940e-01 | 7.582010e-01 | 8.189300e-01 | 7.172680e-01 | 6.899300e-01 | 7.448190e-01 | 3.328920e-01 | 3.089470e-01 | 3.565930e-01 | 7.193310e-01 | 6.014940e-01 | 8.663320e-01 | 2.408830e+00 | 2.328840e+00 | 2.488980e+00 | 2.795260e+00 | 2.648100e+00 | 2.964060e+00 | 18.66 | -12.216000 | 6.444000 |  
GRB241209D   |   1273106    | 2.942680e-01 | 2.721850e-01 | 3.168440e-01 | 3.620090e-01 | 3.502260e-01 | 3.738430e-01 | 2.712160e-01 | 2.618670e-01 | 2.806360e-01 | 9.890300e-02 | 9.041040e-02 | 1.074250e-01 | 1.769830e-01 | 1.487210e-01 | 2.116380e-01 | 1.026400e+00 | 9.939040e-01 | 1.058990e+00 | 1.104480e+00 | 1.059000e+00 | 1.153770e+00 | 80 | -15.120000 | 64.880000 |  
GRB241209A   |   1273071    | 4.386000e-01 | 2.153440e-01 | 6.930150e-01 | 7.282470e-01 | 5.501150e-01 | 9.067150e-01 | 7.592800e-01 | 5.845130e-01 | 9.467380e-01 | 3.578290e-01 | 2.253810e-01 | 4.810190e-01 | 7.100880e-01 | 3.083040e-01 | 1.352460e+00 | 2.283960e+00 | 1.843960e+00 | 2.725840e+00 | 2.636210e+00 | 2.010920e+00 | 3.444790e+00 | 0.256 | -0.072000 | 0.184000 |  
GRB241128A   |   1270999    | 1.461190e-02 | 7.406610e-03 | 2.190780e-02 | 2.420860e-02 | 1.857770e-02 | 3.012100e-02 | 1.269540e-02 | 7.732530e-03 | 1.730360e-02 | 1.242720e-03 | 0.000000e+00 | 5.048360e-03 | 1.351480e-03 | 0.000000e+00 | 8.655930e-03 | 5.275780e-02 | 4.108400e-02 | 6.455550e-02 | 5.287020e-02 | 4.109210e-02 | 6.541840e-02 | 247.4 | -0.856000 | 246.496000 |  
GRB241127A   |   1270788    | 2.778500e-01 | 2.423150e-01 | 3.132230e-01 | 1.728000e-01 | 1.523920e-01 | 1.935790e-01 | 3.466750e-02 | 2.121250e-02 | 4.973000e-02 | 1.712590e-03 | 0.000000e+00 | 6.639720e-03 | 1.828130e-03 | 0.000000e+00 | 8.443840e-03 | 4.870310e-01 | 4.424190e-01 | 5.321710e-01 | 4.871590e-01 | 4.424520e-01 | 5.325770e-01 | 29.96 | -20.832000 | 9.128000 |  
GRB241115A   |   1267921    | 4.236720e-01 | 3.791780e-01 | 4.690020e-01 | 5.121870e-01 | 4.849810e-01 | 5.398190e-01 | 3.364610e-01 | 3.158850e-01 | 3.571990e-01 | 9.397890e-02 | 7.543640e-02 | 1.134330e-01 | 1.398750e-01 | 1.009050e-01 | 1.937920e-01 | 1.366300e+00 | 1.298310e+00 | 1.434320e+00 | 1.412200e+00 | 1.332070e+00 | 1.497840e+00 | 9.764 | -0.472000 | 9.292000 |  
GRB241113A   |   1267501    | 3.363360e-01 | 2.652410e-01 | 4.060690e-01 | 2.228240e-01 | 1.748410e-01 | 2.850950e-01 | 9.994980e-02 | 0.000000e+00 | 1.531000e-01 | 3.256960e-02 | 0.000000e+00 | 5.024830e-02 | 7.396150e-02 | 0.000000e+00 | 1.196230e-01 | 6.923810e-01 | 5.437880e-01 | 8.684350e-01 | 7.342820e-01 | 5.768420e-01 | 9.246360e-01 | 2.208 | -0.020000 | 2.188000 |  
GRB241030B   |   1263840    | 4.579620e-01 | 3.509910e-01 | 5.705520e-01 | 6.183320e-01 | 5.445510e-01 | 6.944310e-01 | 4.784950e-01 | 4.174040e-01 | 5.410370e-01 | 1.618130e-01 | 1.094810e-01 | 2.150620e-01 | 2.627900e-01 | 1.437640e-01 | 4.806230e-01 | 1.716600e+00 | 1.534650e+00 | 1.898800e+00 | 1.817580e+00 | 1.595220e+00 | 2.084240e+00 | 8.288 | -1.184000 | 7.104000 |  
GRB241030A   |   1263718    | 4.805770e-01 | 4.574360e-01 | 4.997160e-01 | 4.519090e-01 | 4.431500e-01 | 4.606450e-01 | 2.902570e-01 | 2.849680e-01 | 2.955730e-01 | 1.161630e-01 | 1.124660e-01 | 1.197650e-01 | 2.686680e-01 | 2.453350e-01 | 2.854020e-01 | 1.338910e+00 | 1.309210e+00 | 1.368890e+00 | 1.491410e+00 | 1.448350e+00 | 1.528170e+00 | 277.4 | -0.932000 | 276.496000 |  
GRB241026A   |   1262764    | 3.119740e-01 | 2.596550e-01 | 3.658230e-01 | 3.565410e-01 | 3.262880e-01 | 3.874050e-01 | 2.444280e-01 | 2.210760e-01 | 2.682300e-01 | 8.231410e-02 | 6.280780e-02 | 1.023300e-01 | 1.420810e-01 | 8.992080e-02 | 2.296860e-01 | 9.952570e-01 | 9.167150e-01 | 1.073910e+00 | 1.055020e+00 | 9.566810e-01 | 1.169800e+00 | 32.29 | -1.304000 | 30.984000 |  
GRB241025A   |   1262165    | 1.289520e-01 | 1.170650e-01 | 1.411370e-01 | 1.576080e-01 | 1.511390e-01 | 1.641050e-01 | 1.253030e-01 | 1.200310e-01 | 1.306210e-01 | 5.261180e-02 | 4.804000e-02 | 5.715060e-02 | 1.088490e-01 | 8.859920e-02 | 1.349490e-01 | 4.644750e-01 | 4.467200e-01 | 4.823050e-01 | 5.207120e-01 | 4.921880e-01 | 5.532360e-01 | 161.3 | -28.428000 | 132.908000 |  
GRB241010A   |   1259578    | 3.508080e-01 | 3.201240e-01 | 3.820650e-01 | 2.973980e-01 | 2.837980e-01 | 3.111650e-01 | 1.609660e-01 | 1.517230e-01 | 1.703110e-01 | 5.212700e-02 | 4.364950e-02 | 6.024090e-02 | 1.002730e-01 | 7.144130e-02 | 1.318530e-01 | 8.612990e-01 | 8.213820e-01 | 9.013180e-01 | 9.094450e-01 | 8.564620e-01 | 9.671470e-01 | 35.17 | -0.044000 | 35.124000 |  
GRB241006A   |   1258721    | 7.280910e-02 | 5.464700e-02 | 9.148260e-02 | 8.800620e-02 | 7.571290e-02 | 1.008420e-01 | 5.819190e-02 | 4.850030e-02 | 6.798330e-02 | 1.650130e-02 | 8.378820e-03 | 2.608750e-02 | 2.477600e-02 | 9.943330e-03 | 6.176860e-02 | 2.355080e-01 | 2.056910e-01 | 2.653070e-01 | 2.437830e-01 | 2.095100e-01 | 2.874080e-01 | 54 | -5.576000 | 48.424000 |  
GRB241002A   |   1257556    | 2.407580e-01 | 2.159340e-01 | 2.659780e-01 | 2.061520e-01 | 1.941440e-01 | 2.183630e-01 | 1.027180e-01 | 9.471690e-02 | 1.107560e-01 | 2.705190e-02 | 2.036950e-02 | 3.422400e-02 | 4.337680e-02 | 2.795680e-02 | 6.799450e-02 | 5.766790e-01 | 5.440570e-01 | 6.093870e-01 | 5.930040e-01 | 5.551600e-01 | 6.343600e-01 | 56.25 | -21.336000 | 34.916000 |  
GRB240912A   |   1253910    | 4.197280e-01 | 3.997510e-01 | 4.401280e-01 | 4.158520e-01 | 4.078880e-01 | 4.237990e-01 | 2.754880e-01 | 2.706130e-01 | 2.803800e-01 | 1.084000e-01 | 1.051870e-01 | 1.115940e-01 | 2.365650e-01 | 2.180450e-01 | 2.571960e-01 | 1.219470e+00 | 1.193440e+00 | 1.245730e+00 | 1.347630e+00 | 1.311520e+00 | 1.385230e+00 | 376.7 | -3.648000 | 373.028000 |  
GRB240905E   |   1252695    | 3.975150e-02 | 2.923810e-02 | 4.900530e-02 | 5.117430e-02 | 4.434610e-02 | 5.821770e-02 | 4.593260e-02 | 4.015630e-02 | 5.218350e-02 | 2.313320e-02 | 1.701860e-02 | 2.843540e-02 | 5.855360e-02 | 2.892180e-02 | 8.050080e-02 | 1.599920e-01 | 1.418800e-01 | 1.779750e-01 | 1.954130e-01 | 1.592650e-01 | 2.266170e-01 | 139.3 | 0.084000 | 139.388000 |  
GRB240904A   |   1252402    | 6.344940e-02 | 5.488790e-02 | 7.214590e-02 | 6.250060e-02 | 5.757610e-02 | 6.754330e-02 | 3.599370e-02 | 3.230520e-02 | 3.970800e-02 | 1.043360e-02 | 7.237960e-03 | 1.392350e-02 | 1.700710e-02 | 9.745330e-03 | 3.013540e-02 | 1.723770e-01 | 1.598120e-01 | 1.849440e-01 | 1.789510e-01 | 1.638720e-01 | 1.966240e-01 | 150.1 | -68.668000 | 81.476000 |  
GRB240829A   |   1251252    | 3.556480e-01 | 3.083770e-01 | 4.037760e-01 | 3.442740e-01 | 3.181990e-01 | 3.709030e-01 | 2.083000e-01 | 1.895690e-01 | 2.273700e-01 | 6.951840e-02 | 5.325740e-02 | 8.616850e-02 | 1.284680e-01 | 8.007500e-02 | 1.996280e-01 | 9.777410e-01 | 9.099070e-01 | 1.045590e+00 | 1.036690e+00 | 9.495980e-01 | 1.140950e+00 | 53.81 | -1.912000 | 51.896000 |  
GRB240825A   |   1250617    | 1.027580e-01 | 9.604480e-02 | 1.048430e-01 | 1.165900e-01 | 1.136540e-01 | 1.196540e-01 | 9.647670e-02 | 9.549390e-02 | 9.929090e-02 | 4.924940e-02 | 4.835250e-02 | 5.086390e-02 | 1.363100e-01 | 1.338280e-01 | 1.425200e-01 | 3.667780e-01 | 3.559210e-01 | 3.715110e-01 | 4.644510e-01 | 4.364290e-01 | 4.589970e-01 | 832 | 0.112000 | 832.112000 |  
GRB240824A   |   1250282    | 9.969090e-02 | 8.478910e-02 | 1.153270e-01 | 1.120270e-01 | 1.017140e-01 | 1.205510e-01 | 8.872620e-02 | 8.198380e-02 | 9.788740e-02 | 4.411380e-02 | 4.075860e-02 | 5.058950e-02 | 1.195020e-01 | 1.104120e-01 | 1.436770e-01 | 3.458220e-01 | 3.178820e-01 | 3.738360e-01 | 4.375610e-01 | 3.700400e-01 | 4.534170e-01 | 43.82 | -0.656000 | 43.168000 |  
GRB240811A   |   1248132    | 1.987840e-01 | 1.784400e-01 | 2.195280e-01 | 1.923800e-01 | 1.821710e-01 | 2.027220e-01 | 1.167990e-01 | 1.096350e-01 | 1.240500e-01 | 3.930040e-02 | 3.268220e-02 | 4.602160e-02 | 7.320640e-02 | 5.203630e-02 | 1.043640e-01 | 5.472640e-01 | 5.188210e-01 | 5.757620e-01 | 5.811710e-01 | 5.437190e-01 | 6.238230e-01 | 76.11 | -34.864000 | 41.244000 |  
