#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy flux in XX - XX keV, with unit of erg/cm^2/s.
## XX_XXkeV_low: The lower limit of energy flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0. 
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250101A   |   1278305    | 4.241505e-09 | 3.532157e-09 | 4.965237e-09 | 5.356610e-09 | 4.658971e-09 | 6.049368e-09 | 4.931511e-09 | 3.799444e-09 | 6.103796e-09 | 2.701158e-09 | 1.829195e-09 | 3.738006e-09 | 7.941454e-09 | 4.887649e-09 | 1.205369e-08 | 1.723058e-08 | 1.459755e-08 | 1.993334e-08 | 2.247036e-08 | 1.788875e-08 | 2.784774e-08 | 36.71 | -0.224000 | 36.488000 |  
GRB241229B   |   1277428    | 2.023485e-08 | 1.806176e-08 | 2.246777e-08 | 3.294200e-08 | 3.063656e-08 | 3.524520e-08 | 4.059570e-08 | 3.678917e-08 | 4.439152e-08 | 2.798724e-08 | 2.408241e-08 | 3.210702e-08 | 9.877567e-08 | 8.099160e-08 | 1.188584e-07 | 1.217615e-07 | 1.126056e-07 | 1.309664e-07 | 1.925440e-07 | 1.710527e-07 | 2.157148e-07 | 5.996 | -2.616000 | 3.380000 |  
GRB241228A   |   1277277    | 5.833108e-08 | N/A | N/A | 8.936141e-08 | N/A | N/A | 1.027283e-07 | N/A | N/A | 6.707335e-08 | N/A | N/A | 2.262143e-07 | N/A | N/A | 3.174900e-07 | N/A | N/A | 4.766285e-07 | N/A | N/A | 9.94 | -5.160000 | 4.780000 |  
GRB241218A   |   1275005    | 2.167355e-09 | 1.563220e-09 | 2.822474e-09 | 4.448770e-09 | 3.634294e-09 | 5.249767e-09 | 7.131157e-09 | 5.770986e-09 | 8.476567e-09 | 6.026012e-09 | 4.379757e-09 | 7.837905e-09 | 2.552114e-08 | 1.652875e-08 | 3.734135e-08 | 1.977334e-08 | 1.635272e-08 | 2.321935e-08 | 3.926901e-08 | 2.908640e-08 | 5.171899e-08 | 27.98 | -1.824000 | 26.160000 |  
GRB241213A   |   1274039    | 1.991453e-08 | 1.874002e-08 | 2.111543e-08 | 4.449795e-08 | 4.291509e-08 | 4.607549e-08 | 7.847837e-08 | 7.592941e-08 | 8.102145e-08 | 7.133785e-08 | 6.774387e-08 | 7.498769e-08 | 3.241306e-07 | 3.007115e-07 | 3.487627e-07 | 2.142299e-07 | 2.076730e-07 | 2.207954e-07 | 4.670249e-07 | 4.422929e-07 | 4.927652e-07 | 18.66 | -12.216000 | 6.444000 |  
GRB241209D   |   1273106    | 1.054678e-08 | 1.001867e-08 | 1.108409e-08 | 1.996687e-08 | 1.937269e-08 | 2.055985e-08 | 2.920922e-08 | 2.828460e-08 | 3.013214e-08 | 2.300594e-08 | 2.185496e-08 | 2.417631e-08 | 9.127882e-08 | 8.493760e-08 | 9.792870e-08 | 8.272752e-08 | 8.044888e-08 | 8.501195e-08 | 1.510011e-07 | 1.441020e-07 | 1.581503e-07 | 80 | -15.120000 | 64.880000 |  
GRB241209A   |   1273071    | 1.680003e-08 | 1.126419e-08 | 2.297630e-08 | 4.072490e-08 | 3.166066e-08 | 4.958496e-08 | 7.869552e-08 | 6.365023e-08 | 9.353626e-08 | 7.667257e-08 | 5.610738e-08 | 9.829920e-08 | 3.733275e-07 | 2.407687e-07 | 5.432503e-07 | 2.128923e-07 | 1.734004e-07 | 2.524004e-07 | 5.095420e-07 | 3.656790e-07 | 6.837227e-07 | 0.256 | -0.072000 | 0.184000 |  
GRB241128A   |   1270999    | 6.036428e-10 | 4.340602e-10 | 7.830509e-10 | 1.082381e-09 | 8.706829e-10 | 1.293481e-09 | 1.488847e-09 | 1.085600e-09 | 1.897667e-09 | 1.118098e-09 | 7.005191e-10 | 1.615511e-09 | 4.250108e-09 | 2.316328e-09 | 7.038822e-09 | 4.292892e-09 | 3.320932e-09 | 5.295171e-09 | 7.424890e-09 | 5.029792e-09 | 1.052931e-08 | 247.4 | -0.856000 | 246.496000 |  
GRB241127A   |   1270788    | 8.990420e-09 | 8.055268e-09 | 9.935964e-09 | 8.316680e-09 | 7.421813e-09 | 9.195810e-09 | 5.328439e-09 | 4.176380e-09 | 6.584912e-09 | 2.178261e-09 | 1.513666e-09 | 2.998679e-09 | 5.251701e-09 | 3.392814e-09 | 7.761041e-09 | 2.481361e-08 | 2.208259e-08 | 2.766559e-08 | 2.788560e-08 | 2.412126e-08 | 3.216326e-08 | 29.96 | -20.832000 | 9.128000 |  
GRB241115A   |   1267921    | 1.528129e-08 | 1.416087e-08 | 1.642291e-08 | 2.683984e-08 | 2.560767e-08 | 2.806984e-08 | 3.606036e-08 | 3.395471e-08 | 3.816454e-08 | 2.659194e-08 | 2.422535e-08 | 2.904223e-08 | 9.946264e-08 | 8.770614e-08 | 1.122044e-07 | 1.047731e-07 | 9.968734e-08 | 1.098803e-07 | 1.776438e-07 | 1.640968e-07 | 1.919729e-07 | 9.764 | -0.472000 | 9.292000 |  
GRB241113A   |   1267501    | 1.069868e-08 | 8.797515e-09 | 1.266018e-08 | 1.630610e-08 | 1.441916e-08 | 1.819198e-08 | 1.863503e-08 | 1.496821e-08 | 2.232441e-08 | 1.211044e-08 | 8.639926e-09 | 1.610275e-08 | 4.068741e-08 | 2.630147e-08 | 5.960738e-08 | 5.774974e-08 | 4.950967e-08 | 6.616373e-08 | 8.632767e-08 | 6.801740e-08 | 1.082381e-07 | 2.208 | -0.020000 | 2.188000 |  
GRB241030B   |   1263840    | 1.672014e-08 | 1.395533e-08 | 1.961237e-08 | 3.284732e-08 | 2.934810e-08 | 3.631784e-08 | 5.010834e-08 | 4.410522e-08 | 5.606218e-08 | 4.076149e-08 | 3.358845e-08 | 4.836709e-08 | 1.665981e-07 | 1.280147e-07 | 2.119435e-07 | 1.404365e-07 | 1.255018e-07 | 1.554462e-07 | 2.662686e-07 | 2.225359e-07 | 3.152826e-07 | 8.288 | -1.184000 | 7.104000 |  
GRB241030A   |   1263718    | 1.517260e-08 | 1.468994e-08 | 1.566282e-08 | 2.546127e-08 | 2.499079e-08 | 2.593104e-08 | 3.247805e-08 | 3.198969e-08 | 3.296628e-08 | 2.300223e-08 | 2.242797e-08 | 2.358088e-08 | 8.306919e-08 | 8.009031e-08 | 8.612515e-08 | 9.611474e-08 | 9.480473e-08 | 9.742491e-08 | 1.561816e-07 | 1.531123e-07 | 1.592979e-07 | 277.4 | -0.932000 | 276.496000 |  
GRB241026A   |   1262764    | 1.083129e-08 | 9.530595e-09 | 1.217923e-08 | 1.924199e-08 | 1.778976e-08 | 2.068759e-08 | 2.618967e-08 | 2.382923e-08 | 2.853580e-08 | 1.950743e-08 | 1.686048e-08 | 2.229359e-08 | 7.361562e-08 | 6.042964e-08 | 8.857272e-08 | 7.577047e-08 | 7.002127e-08 | 8.154550e-08 | 1.298763e-07 | 1.146991e-07 | 1.463794e-07 | 32.29 | -1.304000 | 30.984000 |  
GRB241025A   |   1262165    | 4.425476e-09 | 4.144193e-09 | 4.713353e-09 | 8.832222e-09 | 8.496499e-09 | 9.166847e-09 | 1.371545e-08 | 1.320870e-08 | 1.422100e-08 | 1.131071e-08 | 1.065393e-08 | 1.198092e-08 | 4.682093e-08 | 4.299817e-08 | 5.086980e-08 | 3.828424e-08 | 3.701093e-08 | 3.955852e-08 | 7.379382e-08 | 6.969634e-08 | 7.807284e-08 | 161.3 | -28.428000 | 132.908000 |  
GRB241010A   |   1259578    | 1.119309e-08 | 1.044456e-08 | 1.195914e-08 | 1.634331e-08 | 1.568989e-08 | 1.699574e-08 | 1.778198e-08 | 1.676062e-08 | 1.880356e-08 | 1.111809e-08 | 1.011416e-08 | 1.216438e-08 | 3.620262e-08 | 3.193229e-08 | 4.084698e-08 | 5.643649e-08 | 5.407668e-08 | 5.880442e-08 | 8.152109e-08 | 7.639765e-08 | 8.691205e-08 | 35.17 | -0.044000 | 35.124000 |  
