#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250128B   |   1285677    | 7.092184e-10 | 2.606814e-10 | 1.014075e-09 | 1.973195e-09 | 1.319897e-09 | 2.659010e-09 | 4.450308e-09 | 3.117310e-09 | 6.045052e-09 | 4.870572e-09 | 2.065190e-09 | 6.766904e-09 | 2.685220e-08 | 3.282918e-09 | 5.529170e-08 | 1.200605e-08 | 8.270656e-09 | 1.542375e-08 | 2.718316e-08 | 9.957034e-09 | 4.488900e-08 | 0.02 | 0.004000 | 0.024000 |  
GRB250114A   |   1281241    | 9.186922e-11 | 2.009694e-11 | 6.611348e-10 | 2.451150e-09 | 8.860536e-10 | 4.214538e-09 | 2.461670e-09 | 4.358228e-10 | 4.900382e-09 | 1.905154e-11 | 1.223010e-13 | 1.587852e-10 | 1.906953e-11 | 1.244314e-13 | 1.597791e-10 | 4.998618e-09 | 2.040140e-09 | 8.340268e-09 | 4.997352e-09 | 2.039952e-09 | 8.335084e-09 | 0.02 | 37.828000 | 37.848000 |  
GRB250108B   |   1280056    | 5.432128e-10 | 2.145458e-10 | 8.556970e-10 | 1.176982e-09 | 6.858514e-10 | 1.741927e-09 | 1.071766e-09 | 3.945208e-10 | 1.715300e-09 | 2.520810e-10 | 4.814598e-12 | 9.271500e-10 | 3.132636e-10 | 4.796782e-12 | 2.955766e-09 | 3.044038e-09 | 1.869003e-09 | 4.299718e-09 | 3.105418e-09 | 1.873355e-09 | 5.935400e-09 | 0.02 | 47.168000 | 47.188000 |  
GRB250103B   |   1278865    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |  
GRB250101A   |   1278305    | 7.291384e-10 | 1.776601e-10 | 1.206285e-09 | 1.272243e-09 | 4.207460e-10 | 1.968294e-09 | 1.508099e-09 | 3.371088e-10 | 2.869392e-09 | 8.660242e-10 | 1.683410e-11 | 2.289918e-09 | 2.121144e-09 | 1.419058e-11 | 2.000000e-02 | 4.375624e-09 | 1.955465e-09 | 7.020854e-09 | 5.649370e-09 | 1.971197e-09 | 1.124786e-08 | 0.02 | 1.504000 | 1.524000 |  
GRB241229B   |   1277428    | 6.712742e-10 | 1.183232e-11 | 1.668169e-09 | 3.475522e-09 | 1.257100e-09 | 4.740454e-09 | 5.440138e-09 | 2.610598e-09 | 1.064364e-08 | 1.246465e-09 | 1.992554e-10 | 2.685840e-09 | 1.421118e-09 | 2.049510e-10 | 3.463220e-09 | 1.079369e-08 | 6.888108e-09 | 1.514119e-08 | 1.108409e-08 | 6.918310e-09 | 1.544223e-08 | 0.02 | 0.364000 | 0.384000 |  
GRB241228A   |   1277277    | 2.853580e-09 | 1.774802e-09 | 3.957582e-09 | 8.049706e-09 | 6.158714e-09 | 1.010951e-08 | 1.614953e-08 | 1.233957e-08 | 2.015534e-08 | 1.381115e-08 | 7.345646e-09 | 1.932992e-08 | 4.414180e-08 | 1.166783e-08 | 1.207842e-07 | 4.086392e-08 | 3.192640e-08 | 4.964552e-08 | 7.119508e-08 | 3.784600e-08 | 1.366407e-07 | 0.02 | 0.096000 | 0.116000 |  
GRB241218A   |   1275005    | 3.079640e-10 | 2.930354e-11 | 6.002332e-10 | 1.076688e-09 | 4.883824e-10 | 1.879490e-09 | 2.291448e-09 | 1.046622e-09 | 3.713898e-09 | 1.659358e-09 | 1.063384e-10 | 2.619630e-09 | 3.613766e-09 | 2.499482e-11 | 1.624314e-08 | 5.335068e-09 | 2.490406e-09 | 8.211264e-09 | 7.305500e-09 | 2.500922e-09 | 1.514677e-08 | 0.02 | 5.420000 | 5.440000 |  
GRB241213A   |   1274039    | 1.745300e-10 | N/A | N/A | 2.364450e-10 | N/A | N/A | 2.483304e-10 | N/A | N/A | 1.619273e-10 | N/A | N/A | 6.182014e-10 | N/A | N/A | 1.395083e-09 | N/A | N/A | 2.565784e-09 | N/A | N/A | 0.02 | 0.472000 | 0.492000 |  
GRB241209D   |   1273106    | 2.458160e-10 | 4.896322e-11 | 5.418636e-10 | 1.051768e-09 | 3.128960e-10 | 1.732726e-09 | 3.599730e-09 | 2.297312e-09 | 5.143160e-09 | 5.028402e-09 | 1.999586e-09 | 7.718270e-09 | 3.094212e-08 | 3.145720e-09 | 6.272056e-08 | 9.925674e-09 | 6.228020e-09 | 1.354160e-08 | 3.541440e-08 | 7.859954e-09 | 1.235492e-07 | 0.02 | 0.172000 | 0.192000 |  
