#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## alpha: "alpha" in the cutoff power-law model (equation below).
## alpha_low: The lower limit of "alpha" (90% confidence region).
## alpha_hi: The upper limit of "alpha" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## Epeak: "Epeak" in the cutoff power-law model (equation below).
## Epeak_low: The lower limit of "Epeak" (90% confidence region).
## Epeak_hi: The upper limit of "Epeak" (90% confidence region).
## norm: The normalization factor in the cutoff power-law model (equation below), in unit of (number of photon)/cm^2/s/keV.
## norm_low: The lower limit of "norm" (90% confidence region). 
## norm_hi: The upper limit of "norm" (90% confidence region).
## chi2: chi^2 from the fitting, reported by XSPEC.
## reduced_chi2: reduced chi^2 reported by XSPEC.
## null_prob: The null probability of the model, reported by XSPEC.
## enrom: The normalization energy in the cutoff power-law model (eaution below). "enorm" is set to 50 keV in all analyses.
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## Note -- Cutoff power-law (CPL) equation: f = norm*((E/enorm)^{alpha})*(exp(-E(2+alpha)/Epeak))
#####################################################################################
#####################################################################################
GRB241030A   |   1263718    | -8.797310e-01 | -1.084520e+00 | -6.686400e-01 | 1.371640e-01 | 1.185420e-01 | 1.557840e-01 | 14.13 | 8 | 1.76625 | 7.85e-02 | 50.0000 | 0.02 | 147.988000 | 148.008000 |  
GRB241026A   |   1262764    | -2.175050e+00 | -3.294740e+00 | -1.488790e+00 | 2.816410e-02 | 7.125680e-03 | 4.856270e-02 | 14.42 | 8 | 1.8025 | 7.15e-02 | 50.0000 | 0.02 | 0.900000 | 0.920000 |  
GRB241025A   |   1262165    | -1.071660e+00 | -1.663250e+00 | -5.001740e-01 | 4.506590e-02 | 2.990780e-02 | 6.022390e-02 | 2.99 | 8 | 0.37375 | 9.35e-01 | 50.0000 | 0.02 | 22.852000 | 22.872000 |  
GRB241010A   |   1259578    | -1.692540e+00 | -2.019760e+00 | -1.387920e+00 | 7.829440e-02 | 6.043710e-02 | 9.560930e-02 | 7.29 | 8 | 0.91125 | 5.05e-01 | 50.0000 | 0.02 | 0.176000 | 0.196000 |  
GRB241006A   |   1258721    | -2.296010e+00 | -3.413620e+00 | -1.587510e+00 | 1.866410e-02 | 6.218330e-03 | 3.041220e-02 | 5.36 | 8 | 0.67 | 7.19e-01 | 50.0000 | 0.02 | 9.136000 | 9.156000 |  
GRB241002A   |   1257556    | -7.781380e-01 | -1.363640e+00 | -1.060640e-01 | 2.977350e-02 | 1.805230e-02 | 4.095780e-02 | 7.83 | 8 | 0.97875 | 4.51e-01 | 50.0000 | 0.02 | -0.136000 | -0.116000 |  
GRB240912A   |   1253910    | -1.116810e+00 | N/A | N/A | 1.560440e-01 | N/A | N/A | 17.96 | 8 | 2.245 | 2.15e-02 | 50.0000 | 0.02 | 76.416000 | 76.436000 |  
GRB240905E   |   1252695    | -1.326830e-01 | -7.716410e-01 | 8.759780e-01 | 7.382610e-02 | 0.000000e+00 | 1.689430e-02 | 6.47 | 8 | 0.80875 | 5.95e-01 | 50.0000 | 0.02 | 0.140000 | 0.160000 |  
GRB240904A   |   1252402    | -2.144500e+00 | -3.122630e+00 | -1.433280e+00 | 1.378290e-02 | 4.673460e-03 | 2.314000e-02 | 15.81 | 8 | 1.97625 | 4.51e-02 | 50.0000 | 0.02 | 69.796000 | 69.816000 |  
GRB240829A   |   1251252    | -2.641200e+00 | -3.654840e+00 | -1.761780e+00 | 3.885850e-02 | 1.439530e-02 | 6.279020e-02 | 3.94 | 8 | 0.4925 | 8.62e-01 | 50.0000 | 0.02 | 22.712000 | 22.732000 |  
GRB240825A   |   1250617    | -5.694030e-01 | N/A | N/A | 1.192840e+00 | N/A | N/A | 27.51 | 8 | 3.43875 | 5.77e-04 | 50.0000 | 0.02 | 1.656000 | 1.676000 |  
GRB240824A   |   1250282    | -1.660940e+00 | -3.448580e+00 | -0.000000e+00 | 1.804860e-02 | 0.000000e+00 | 2.867220e-02 | 11.02 | 8 | 1.3775 | 2.01e-01 | 50.0000 | 0.02 | 30.668000 | 30.688000 |  
GRB240811A   |   1248132    | -1.788700e+00 | -2.284740e+00 | -1.355910e+00 | 4.368270e-02 | 2.880450e-02 | 5.785640e-02 | 6.67 | 8 | 0.83375 | 5.72e-01 | 50.0000 | 0.02 | 11.476000 | 11.496000 |  
GRB240809A   |   1247745    | -1.042550e+00 | -1.355740e+00 | -7.310630e-01 | 1.431100e-01 | 1.174160e-01 | 1.685160e-01 | 4.71 | 8 | 0.58875 | 7.88e-01 | 50.0000 | 0.02 | 3.264000 | 3.284000 |  
GRB240805B   |   1246989    | -1.326160e+00 | -1.755860e+00 | -8.811700e-01 | 3.263250e-02 | 2.217860e-02 | 4.304780e-02 | 9.98 | 8 | 1.2475 | 2.67e-01 | 50.0000 | 0.02 | 29.180000 | 29.200000 |  
GRB240805A   |   1246907    | -4.840070e-01 | -9.758840e-01 | 8.309180e-02 | 1.200490e-01 | 8.006950e-02 | 1.572690e-01 | 4.11 | 8 | 0.51375 | 8.47e-01 | 50.0000 | 0.02 | 9.080000 | 9.100000 |  
GRB240730A   |   1245636    | -1.789830e+00 | -2.613970e+00 | -1.056520e+00 | 1.363410e-02 | 5.823970e-03 | 2.120730e-02 | 8.90 | 8 | 1.1125 | 3.51e-01 | 50.0000 | 0.02 | 37.016000 | 37.036000 |  
GRB240727A   |   1245074    | -7.653550e-01 | N/A | N/A | 9.726730e-03 | N/A | N/A | 19.95 | 8 | 2.49375 | 1.05e-02 | 50.0000 | 0.02 | 22.252000 | 22.272000 |  
GRB240720A   |   1243868    | -4.631310e-01 | -9.492610e-01 | 6.515620e-02 | 4.528010e-02 | 2.726980e-02 | 6.314060e-02 | 11.16 | 8 | 1.395 | 1.93e-01 | 50.0000 | 0.02 | 0.884000 | 0.904000 |  
GRB240712A   |   1242223    | -1.273970e+00 | -1.937730e+00 | -6.331290e-01 | 1.843890e-02 | 1.022730e-02 | 2.650230e-02 | 4.85 | 8 | 0.60625 | 7.73e-01 | 50.0000 | 0.02 | 3.680000 | 3.700000 |  
GRB240624A   |   1238732    | -1.138870e+00 | -1.712350e+00 | -5.493750e-01 | 5.036500e-02 | 3.220270e-02 | 6.852300e-02 | 10.62 | 8 | 1.3275 | 2.24e-01 | 50.0000 | 0.02 | 1.692000 | 1.712000 |  
GRB240529A   |   1231488    | -8.540340e-01 | -1.493530e+00 | -5.608370e-02 | 9.821870e-02 | 5.943070e-02 | 1.321270e-01 | 9.71 | 8 | 1.21375 | 2.86e-01 | 50.0000 | 0.02 | 0.336000 | 0.356000 |  
GRB240523A   |   1230423    | -1.699780e+00 | N/A | N/A | 1.057370e-02 | N/A | N/A | 22.59 | 8 | 2.82375 | 3.94e-03 | 50.0000 | 0.02 | 0.024000 | 0.044000 |  
GRB240516A   |   1228797    | -1.629000e+00 | -3.491640e+00 | -4.957320e-01 | 2.364790e-02 | 0.000000e+00 | 4.180960e-02 | 11.77 | 8 | 1.47125 | 1.62e-01 | 50.0000 | 0.02 | -2.420000 | -2.400000 |  
GRB240511A   |   1227767    | -1.171550e+00 | -1.667060e+00 | -6.542460e-01 | 3.343090e-02 | 2.289100e-02 | 4.395310e-02 | 11.77 | 8 | 1.47125 | 1.62e-01 | 50.0000 | 0.02 | -1.296000 | -1.276000 |  
