#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy flux in XX - XX keV, with unit of erg/cm^2/s.
## XX_XXkeV_low: The lower limit of energy flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0. 
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB250128B   |   1285677    | 3.546092e-08 | 1.303407e-08 | 5.070374e-08 | 9.865975e-08 | 6.599484e-08 | 1.329505e-07 | 2.225154e-07 | 1.558655e-07 | 3.022526e-07 | 2.435286e-07 | 1.032595e-07 | 3.383452e-07 | 1.342610e-06 | 1.641459e-07 | 2.764585e-06 | 6.003023e-07 | 4.135328e-07 | 7.711875e-07 | 1.359158e-06 | 4.978517e-07 | 2.244450e-06 | 0.02 | 0.004000 | 0.024000 |  
GRB250114A   |   1281241    | 4.593461e-09 | 1.004847e-09 | 3.305674e-08 | 1.225575e-07 | 4.430268e-08 | 2.107269e-07 | 1.230835e-07 | 2.179114e-08 | 2.450191e-07 | 9.525768e-10 | 6.115050e-12 | 7.939260e-09 | 9.534765e-10 | 6.221570e-12 | 7.988955e-09 | 2.499309e-07 | 1.020070e-07 | 4.170134e-07 | 2.498676e-07 | 1.019976e-07 | 4.167542e-07 | 0.02 | 37.828000 | 37.848000 |  
GRB250108B   |   1280056    | 2.716064e-08 | 1.072729e-08 | 4.278485e-08 | 5.884912e-08 | 3.429257e-08 | 8.709636e-08 | 5.358830e-08 | 1.972604e-08 | 8.576498e-08 | 1.260405e-08 | 2.407299e-10 | 4.635750e-08 | 1.566318e-08 | 2.398391e-10 | 1.477883e-07 | 1.522019e-07 | 9.345015e-08 | 2.149859e-07 | 1.552709e-07 | 9.366773e-08 | 2.967700e-07 | 0.02 | 47.168000 | 47.188000 |  
GRB250103B   |   1278865    | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A |  
GRB250101A   |   1278305    | 3.645692e-08 | 8.883007e-09 | 6.031426e-08 | 6.361214e-08 | 2.103730e-08 | 9.841471e-08 | 7.540497e-08 | 1.685544e-08 | 1.434696e-07 | 4.330121e-08 | 8.417052e-10 | 1.144959e-07 | 1.060572e-07 | 7.095288e-10 | 1.000000e+00 | 2.187812e-07 | 9.777324e-08 | 3.510427e-07 | 2.824685e-07 | 9.855984e-08 | 5.623931e-07 | 0.02 | 1.504000 | 1.524000 |  
GRB241229B   |   1277428    | 3.356371e-08 | 5.916161e-10 | 8.340844e-08 | 1.737761e-07 | 6.285502e-08 | 2.370227e-07 | 2.720069e-07 | 1.305299e-07 | 5.321818e-07 | 6.232324e-08 | 9.962768e-09 | 1.342920e-07 | 7.105588e-08 | 1.024755e-08 | 1.731610e-07 | 5.396846e-07 | 3.444054e-07 | 7.570595e-07 | 5.542044e-07 | 3.459155e-07 | 7.721115e-07 | 0.02 | 0.364000 | 0.384000 |  
GRB241228A   |   1277277    | 1.426790e-07 | 8.874012e-08 | 1.978791e-07 | 4.024853e-07 | 3.079357e-07 | 5.054754e-07 | 8.074767e-07 | 6.169785e-07 | 1.007767e-06 | 6.905577e-07 | 3.672823e-07 | 9.664959e-07 | 2.207090e-06 | 5.833914e-07 | 6.039208e-06 | 2.043196e-06 | 1.596320e-06 | 2.482276e-06 | 3.559754e-06 | 1.892300e-06 | 6.832034e-06 | 0.02 | 0.096000 | 0.116000 |  
GRB241218A   |   1275005    | 1.539820e-08 | 1.465177e-09 | 3.001166e-08 | 5.383442e-08 | 2.441912e-08 | 9.397449e-08 | 1.145724e-07 | 5.233112e-08 | 1.856949e-07 | 8.296788e-08 | 5.316918e-09 | 1.309815e-07 | 1.806883e-07 | 1.249741e-09 | 8.121570e-07 | 2.667534e-07 | 1.245203e-07 | 4.105632e-07 | 3.652750e-07 | 1.250461e-07 | 7.573384e-07 | 0.02 | 5.420000 | 5.440000 |  
GRB241213A   |   1274039    | 8.726498e-09 | N/A | N/A | 1.182225e-08 | N/A | N/A | 1.241652e-08 | N/A | N/A | 8.096364e-09 | N/A | N/A | 3.091007e-08 | N/A | N/A | 6.975414e-08 | N/A | N/A | 1.282892e-07 | N/A | N/A | 0.02 | 0.472000 | 0.492000 |  
GRB241209D   |   1273106    | 1.229080e-08 | 2.448161e-09 | 2.709318e-08 | 5.258841e-08 | 1.564480e-08 | 8.663632e-08 | 1.799865e-07 | 1.148656e-07 | 2.571580e-07 | 2.514201e-07 | 9.997928e-08 | 3.859135e-07 | 1.547106e-06 | 1.572860e-07 | 3.136028e-06 | 4.962837e-07 | 3.114010e-07 | 6.770800e-07 | 1.770720e-06 | 3.929977e-07 | 6.177461e-06 | 0.02 | 0.172000 | 0.192000 |  
