GRB100915B BAT 182.80  -2.80 157.83 188.94 chi    -2.71 0.20 0.18  1.73 2.28E-06 0.23E-06 4.67E-05 0.47E-05
GRB101021A GBM  47.81 -78.65 128.50 235.86 chi    -1.89 0.37 0.24  0.89 1.71E-06 0.17E-06 1.66E-05 0.17E-05
GRB101023A BAT 328.89 -38.88  68.88 282.93 chi    -1.43 0.05 0.05  1.30 1.16E-05 0.12E-05 1.07E-04 0.11E-04
GRB101123A LAT 221.41  27.85 101.17 102.36 chi    -1.58 0.02 0.02  1.67 1.61E-05 0.16E-05 9.00E-04 0.90E-04
GRB101202A GBM  87.50  37.82 147.81 175.96 cstat  -1.87 0.51 0.29  0.84 5.14E-06 0.51E-06 9.45E-07 0.94E-07
GRB101204B GBM 124.05  61.45  62.93 264.38 cstat  -3.08 5.66 2.35  0.52 2.10E-06 0.21E-06 9.25E-08 0.93E-08
GRB101219A XRT 201.60 -26.19 100.03 265.97 cstat  -3.36 5.02 0.94  1.63 2.72E-06 0.27E-06 7.81E-07 0.78E-07
GRB101227C GBM 277.05   4.80 153.06 243.50 chi    -1.77 0.10 0.10  0.97 7.80E-06 0.78E-06 6.99E-06 0.70E-06
GRB110201A XRT 124.23  27.91 154.13 179.98 chi    -1.70 0.10 0.10  1.41 6.04E-06 0.60E-06 1.16E-05 0.12E-05
GRB110207A BAT 121.82 -73.66 136.36 109.00 chi    -1.72 0.06 0.06  1.16 9.32E-06 0.93E-06 2.15E-05 0.21E-05
GRB110212B GBM 319.31 -33.56  28.36   0.77 cstat  -3.98 4.52 1.47  0.42 3.44E-06 0.34E-06 2.76E-08 0.28E-08
GRB110401A GBM  52.18  23.71 156.87 182.89 pgstat -2.41 0.31 0.24  1.90 5.90E-06 0.59E-06 2.17E-06 0.22E-06
GRB110402A XRT 119.05  55.74 142.44 205.68 cstat  -2.17 0.19 0.15  0.79 5.32E-06 0.53E-06 6.47E-06 0.65E-06
GRB110521B GBM 275.83 -44.24 164.24 183.08 cstat  -2.34 0.67 0.35  0.79 2.12E-06 0.21E-06 3.53E-06 0.35E-06
GRB110522C GBM 289.56  34.78  99.78 141.70 chi    -2.03 1.01 0.36  1.04 3.32E-06 0.33E-06 6.48E-06 0.65E-06
GRB110526A GBM 227.47  -7.73 142.68 181.42 cstat  -3.07 1.23 0.59  0.85 2.68E-06 0.27E-06 5.77E-07 0.58E-07
GRB110529A LAT 147.88  30.78 139.44 312.58 cstat  -2.50 0.46 0.31  1.02 5.94E-06 0.59E-06 1.71E-06 0.17E-06
GRB110601A GBM  56.94 -18.46 115.59  97.15 chi    -1.69 0.64 0.33  0.86 1.51E-06 0.15E-06 1.74E-05 0.17E-05
GRB110705A GBM 180.26  56.99  44.28  91.56 cstat  -2.44 0.15 0.13  1.10 1.37E-05 0.14E-05 1.20E-06 0.12E-06
GRB110708B IPN 288.67   9.80 172.69 163.07 chi    -1.80 0.03 0.03  1.18 1.29E-05 0.13E-05 3.03E-04 0.30E-04
GRB110715A XRT 332.30   6.16  58.77  58.94 cstat  -2.53 6.71 1.04  1.91 1.08E-06 0.11E-06 7.44E-07 0.74E-07
