   120327  2012 03 27 22 47 15.72 C2 N N N Y 255        0.224 0.004          0.248 0.004
GRB120328B 2012 03 28 06 26 16.18 C2 Y Y Y Y 233       13.824 0.256         27.136 0.256
GRB120409A 2012 04 09 19 56 09.92 C2 n Y Y Y 215       24.576 0.512         41.984 0.512
GRB120427A 2012 04 27 01 17 27.72 C2 Y N Y Y 229        0.032 0.016          0.352 0.016
GRB120512A 2012 05 12 02 41 41.90 C2 n Y Y Y 204        6.656 0.640         18.304 0.640
GRB120519A 2012 05 19 17 18 15.12 C2 Y Y Y Y 224        1.024 0.032          3.456 0.032
GRB120612C 2012 06 12 16 29 44.30 C2 n N N Y 200        0.088 0.004          0.256 0.004
GRB120707A 2012 07 07 19 12 17.29 C2 n Y Y Y 216       18.432 0.256         25.088 0.256
GRB120715A 2012 07 15 19 59 29.70 C2 Y N Y Y 180        1.472 0.032          3.648 0.032
GRB120909A 2012 09 09 21 27 55.82 C2 n N Y Y 236        3.648 0.032          6.720 0.032
GRB120911B 2012 09 11 06 26 15.69 C2 Y Y Y Y 214        8.192 0.256         14.848 0.256
GRB120913A 2012 09 13 19 03 37.77 C2 n Y N Y 226        0.640 0.032          1.472 0.032
GRB120919A 2012 09 19 07 24 43.82 C2 n N Y Y 216        1.408 0.032          5.312 0.032
GRB121011B 2012 10 11 22 32 22.87 C2 Y Y Y Y 219        0.048 0.080          0.096 0.080
GRB121023A 2012 10 23 07 44 16.86 C2 Y Y Y Y 233        0.128 0.016          0.320 0.016
GRB121118B 2012 11 18 22 27 30.24 C2 Y Y Y I 214 {>=}   3.584 1.000 * {>=}  17.408 1.000 *
GRB121123B 2012 11 23 10 35 59.87 C2 N Y Y Y 202        8.704 0.256         17.920 0.256
GRB121127A 2012 11 27 21 56 00.36 C2 N N Y Y 221        0.048 0.080          0.384 0.080
GRB130228B 2013 02 28 05 06 10.89 C2 N N Y Y 185        0.640 0.016          1.344 0.016
GRB130304A 2013 03 04 09 49 52.94 C2 N Y Y Y 229        9.216 0.256         23.040 0.256
GRB130306A 2013 03 06 23 47 21.54 C2 Y Y Y Y 206       17.408 0.512         53.248 0.512
GRB130307A 2013 03 07 03 01 44.48 C2 N N Y Y 164        1.120 0.016          1.856 0.016
GRB130315A 2013 03 15 08 28 49.29 C2 Y Y Y Y 221        1.216 0.032          2.880 0.032
GRB130320A 2013 03 20 07 08 39.71 C2 Y Y Y Y 230        2.880 0.032          5.504 0.032
GRB130327B 2013 03 27 08 24 06.43 C2 Y Y Y Y 213       19.456 0.512         38.912 0.512
GRB130408A 2013 04 08 21 51 39.47 C2 y Y Y Y 222        2.880 0.032          6.080 0.032
GRB130416B 2013 04 16 18 28 53.32 C2 Y N N Y 220        0.024 0.004          0.296 0.004
GRB130427A 2013 04 27 07 47 06.35 C2 Y Y Y Y 222        3.840 0.640          9.472 0.640
GRB130502B 2013 05 02 07 51 18.58 C2 Y Y Y Y 235       11.264 0.256         25.088 0.256
GRB130505A 2013 05 05 08 22 25.69 C2 Y Y Y F 218 {>=}   2.176 1.000 * {>=}   5.632 1.000 *
GRB130516A 2013 05 16 13 28 47.43 C2 N N Y Y 204        0.112 0.080          0.432 0.080
GRB130518C 2013 05 18 13 13 08.57 C2 Y Y Y Y 202        0.256 0.016          0.928 0.016
GRB130518A 2013 05 18 13 54 52.22 C2 Y Y Y I 252 {>=}   3.584 1.000 * {>=}  14.336 1.000 *
GRB130606B 2013 06 06 11 55 34.56 C2 Y Y Y Y 217        4.096 0.512         36.864 0.512
GRB130804A 2013 08 04 00 33 15.56 C2 N N Y Y 231        0.016 0.004          0.400 0.004
GRB130821A 2013 08 21 16 10 27.95 C2 Y Y Y F 194 {>=}  27.648 3.000 * {>=}  37.888 3.000 *
GRB130828A 2013 08 28 07 20 07.85 C2 Y N Y Y 199       21.504 0.512         37.888 0.512
GRB130919A 2013 09 19 13 16 15.92 C2 Y N Y Y 259        0.704 0.016          1.248 0.016
GRB131001A 2013 10 01 23 42 42.55 C2 N Y Y Y 201       11.264 0.512         25.600 0.512
GRB131011A 2013 10 11 22 16 39.98 C2 N Y Y I 211 {>=}  11.776 1.000 * {>=}  22.016 1.000 *
GRB131028A 2013 10 28 01 49 04.78 C2 Y Y Y Y 139        2.688 0.640         10.112 0.640
GRB131108A 2013 11 08 20 41 55.79 C2 Y Y Y Y 164       15.360 0.256         27.648 0.256
GRB131118A 2013 11 18 22 59 07.46 C2 Y Y Y I 249 {>=}  17.408 3.000 * {>=}  33.792 3.000 *
GRB131122B 2013 11 22 11 45 01.74 C2 Y Y Y Y 279        1.792 0.640          3.072 0.640
GRB131203A 2013 12 03 19 26 38.16 C2 N Y Y Y 212        2.176 0.640          4.992 0.640
GRB131207A 2013 12 07 22 14 26.96 C2 Y Y Y I 263 {>=}  32.768 3.000 * {>=}  55.296 3.000 *
