recno,GRB,z,Tf,e_Tf,Vf,s_Vf,Vf05,Vf95,logLiso,e_logLiso,Det,r_logLiso,Npeaks,_RA,_DE
149,"150314A",1.758,8.67,0.18,0.132,0.005,-0.005,0.01,53.72,0.021,"BAT",3,3,126.67008,63.83428
150,"150323A",0.593,31.75,1.91,0.289,0.023,-0.046,0.029,51.269,0.113,"BAT",3,3,128.17804,45.46469
151,"150403A",2.06,21.38,0.47,0.225,0.009,-0.015,0.013,53.749,0.031,"BAT",3,3,311.50487,-62.71114
152,"150514A",0.807,5.87,0.41,0.255,0.02,-0.045,0.021,51.916,0.051,"GBM",3,1,74.87687,-60.96861
153,"150727A",0.313,46.8,3.9,0.084,0.032,-0.05,0.053,50.064,0.1,"BAT",5,1,203.96883,-18.32575
154,"150818A",0.282,50.47,4.88,0.252,0.03,-0.061,0.035,50.263,0.117,"BAT",1,1,230.35621,68.342
155,"150821A",0.755,59.18,1.08,0.102,0.003,-0.005,0.005,51.909,0.064,"GBM",3,2,341.91312,-57.89394
156,"151021A",2.33,70.75,2.11,0.157,0.007,-0.013,0.011,53.275,0.055,"BAT",3,7,337.64346,-33.19733
157,"151027A",0.81,39.65,1.1,0.492,0.01,-0.035,0.001,51.888,0.062,"GBM",3,5,272.48696,61.35342
158,"151111A",3.5,37.6,2.69,0.154,0.03,-0.057,0.044,52.396,0.083,"BAT",1,1,56.84483,-44.1615
159,"160131A",0.972,85.25,2.02,0.332,0.007,-0.019,0.004,53.032,0.04,"BAT",3,3,78.16796,-7.04983
160,"160629A",3.332,38.52,1.16,0.193,0.007,-0.031,0.006,53.064,0.064,"GBM",3,6,4.86321,76.96733
161,"160804A",0.736,103.95,4.27,0.115,0.015,-0.026,0.022,51.055,0.069,"BAT",5,4,221.63,9.99892
162,"161014A",2.823,12.96,0.72,0.358,0.026,-0.048,0.039,53.025,0.146,"GBM",6,4,332.64758,7.46878
163,"161017A",2.0127,95.91,3.91,0.56,0.01,-0.038,0.006,52.451,0.056,"BAT",1,6,142.76887,43.12639
164,"161117A",1.549,78.85,0.9,0.4,0.002,-0.004,0.004,52.359,0.089,"BAT",7,5,322.05246,-29.61386
165,"161129A",0.645,20.98,0.6,0.249,0.013,-0.032,0.009,51.35,0.385,"BAT",4,6,316.22775,32.13486
166,"161219B",0.1475,4.34,0.42,0.039,0.013,-0.021,0.022,49.9,0.055,"BAT",1,1,91.714,-26.79158
167,"170202A",3.645,19.32,0.97,0.403,0.014,-0.026,0.02,53.131,0.063,"BAT",1,3,152.525,5.01667
168,"170214A",2.53,76.77,0.48,0.191,0.002,-0.004,0.003,53.526,0.011,"GBM",5,37,256.34142,-1.88747
169,"170405A",3.51,60.67,3.79,0.224,0.023,-0.037,0.035,53.801,0.068,"BAT",8,7,219.82775,-25.24358
170,"170607A",0.557,32.87,2.32,0.233,0.017,-0.033,0.021,51.442,0.027,"BAT",5,2,7.366,9.24319
171,"170705A",2.01,13.58,0.47,0.375,0.012,-0.032,0.008,52.818,0.027,"GBM",5,5,192.2,17.9
172,"170903A",0.886,16.27,0.94,0.257,0.027,-0.074,0.015,51.462,0.082,"GBM",5,3,254.52592,34.97906
173,"171010A",0.329,72.77,0.19,0.177,0.001,-0.001,0.001,51.978,0.005,"GBM",5,49,66.58087,-10.46331
174,"180314A",1.445,17.66,0.98,0.05,0.009,-0.015,0.014,52.442,0.113,"BAT",9,1,99.26525,-24.49625
175,"180325A",2.248,16.77,0.54,0.391,0.012,-0.03,0.01,53.48,0.05,"BAT",10,3,157.42737,24.46353
176,"180404A",1.0,17.85,2.23,0.069,0.033,-0.06,0.047,51.364,0.123,"BAT",1,1,83.54887,-37.168
177,"180620B",1.1175,110.6,3.5,0.477,0.007,-0.022,0.001,51.973,0.097,"BAT",11,5,357.52112,-57.96242
178,"180624A",2.855,183.96,12.6,0.496,0.028,-0.057,0.032,52.415,0.11,"BAT",1,4,318.0975,-2.33806
179,"180703A",0.668,16.79,0.78,0.25,0.015,-0.045,0.005,52.079,0.028,"GBM",5,1,6.46967,-67.17997
180,"180720B",0.654,37.24,0.87,0.315,0.005,-0.01,0.006,53.318,0.026,"BAT",12,13,0.52912,-2.91883
181,"180728A",0.117,4.69,0.07,0.159,0.002,-0.004,0.003,50.964,0.033,"BAT",13,2,253.56517,-54.04431
182,"181020A",2.938,28.91,2.18,0.392,0.032,-0.078,0.025,53.777,0.046,"BAT",14,5,13.98237,-47.38072
183,"181110A",1.505,80.59,1.67,0.179,0.007,-0.015,0.008,52.154,0.066,"BAT",1,10,302.318,-36.89672
184,"190106A",1.859,39.6,1.44,0.429,0.009,-0.018,0.009,52.575,0.196,"BAT",15,5,29.88012,23.8455
185,"190114C",0.424,14.24,0.16,0.491,0.004,-0.005,0.006,53.049,0.002,"GBM",5,8,54.50492,-26.94661
186,"190324A",1.1715,11.27,0.32,0.181,0.008,-0.014,0.012,52.795,0.051,"BAT",16,5,49.61571,-47.21503
187,"190719C",2.469,65.61,2.83,0.699,0.012,-0.032,0.008,52.548,0.061,"BAT",5,7,240.20625,13.00017
188,"190829A",0.079,10.95,0.21,0.138,0.006,-0.012,0.008,49.773,0.008,"GBM",5,2,44.54379,-8.95756
189,"191221B",1.148,13.74,0.61,0.154,0.009,-0.019,0.011,53.173,0.046,"BAT",17,4,154.82987,-38.15764
190,"200524A",1.256,13.44,0.42,0.174,0.009,-0.019,0.008,52.505,0.028,"GBM",5,5,213.04475,60.90539
191,"200826A",0.748,0.98,0.09,0.142,0.006,-0.011,0.01,52.277,0.027,"GBM",5,1,6.78529,34.02681
192,"200829A",1.25,7.28,0.21,0.178,0.007,-0.014,0.003,54.017,0.028,"BAT",18,3,251.20592,72.32925
