recno,GRB,z,Tf,e_Tf,Vf,s_Vf,Vf05,Vf95,logLiso,e_logLiso,Det,r_logLiso,Npeaks,_RA,_DE
40,"080804 ",2.204,7.33,0.39,0.039,0.01,-0.019,0.015,52.601,0.084,"GBM",1,2,328.67458,-53.18894
41,"080810 ",3.35,20.15,0.93,0.228,0.013,-0.023,0.018,52.959,0.065,"BAT",1,7,356.78333,0.30975
42,"080906 ",2.13,28.89,4.13,0.068,0.028,-0.046,0.045,52.181,0.111,"BAT",1,2,228.055,-80.54
43,"080916A",0.689,12.67,0.79,0.086,0.007,-0.013,0.01,51.351,0.067,"BAT",2,2,336.28875,-57.02603
44,"081008 ",1.9685,26.57,0.98,0.099,0.018,-0.03,0.028,52.179,0.103,"BAT",1,5,279.96833,-57.433
45,"081121 ",2.512,5.3,0.27,0.172,0.017,-0.028,0.027,52.971,0.113,"GBM",2,3,89.28208,-60.61169
46,"081203A",2.1,23.62,0.57,0.091,0.009,-0.017,0.013,52.024,0.07,"BAT",3,4,233.03167,63.52083
47,"081221 ",2.259,7.93,0.13,0.023,0.001,-0.001,0.002,53.066,0.037,"BAT",3,4,15.7925,-24.54806
48,"081222 ",2.77,3.9,0.35,0.02,0.002,-0.003,0.003,53.23,0.061,"BAT",2,3,22.74067,-34.09556
49,"090102 ",1.547,7.73,0.34,0.143,0.025,-0.042,0.041,52.783,0.062,"BAT",2,6,128.24792,33.10714
50,"090113 ",1.7493,1.93,0.17,0.183,0.019,-0.024,0.041,52.282,0.096,"BAT",1,4,32.06667,33.43567
51,"090201 ",2.1,14.62,0.5,0.121,0.006,-0.011,0.011,53.313,0.025,"BAT",3,5,92.05125,-46.60447
52,"090323 ",3.583,32.7,0.48,0.172,0.003,-0.006,0.004,53.654,0.078,"GBM",2,16,190.7095,17.05331
53,"090328 ",0.736,10.01,0.13,0.25,0.004,-0.008,0.006,52.264,0.031,"GBM",2,13,90.66537,-41.88197
54,"090418A",1.608,16.59,0.85,0.111,0.02,-0.035,0.029,52.354,0.071,"BAT",1,5,269.31321,33.40586
55,"090423 ",8.1,3.62,0.72,0.06,0.018,-0.033,0.028,53.412,0.093,"BAT",2,1,148.88829,18.14936
56,"090424 ",0.544,1.91,0.08,0.112,0.004,-0.003,0.012,52.341,0.026,"BAT",2,8,189.53083,16.82942
57,"090516 ",4.109,17.12,0.77,0.207,0.025,-0.05,0.033,52.989,0.025,"GBM",2,4,138.246,-11.848
58,"090618 ",0.54,21.66,0.25,0.104,0.001,-0.001,0.001,52.0,0.049,"BAT",2,9,294.0075,78.35197
59,"090715B",3.0,14.7,1.47,0.122,0.01,-0.017,0.016,52.83,0.124,"BAT",2,5,251.33996,44.83892
60,"090812 ",2.452,16.0,0.61,0.135,0.008,-0.018,0.01,53.008,0.049,"BAT",2,3,353.20208,-10.60472
61,"090902B",1.822,7.2,0.06,0.076,0.001,-0.002,0.002,53.805,0.005,"GBM",2,36,264.93858,27.32447
62,"090926B",1.2428,19.76,0.62,0.032,0.013,-0.023,0.021,51.694,0.063,"BAT",2,1,46.30958,-38.99747
63,"091003 ",0.897,4.32,0.1,0.252,0.007,-0.012,0.011,52.797,0.025,"GBM",3,11,251.5195,36.6253
64,"091018 ",0.971,1.25,0.1,0.005,0.002,-0.003,0.003,51.923,0.034,"BAT",1,1,32.19167,-57.55
65,"091020 ",1.71,6.09,0.87,0.034,0.009,-0.017,0.013,52.505,0.055,"BAT",2,1,175.73,50.97833
66,"091024 ",1.092,17.85,0.55,0.082,0.025,-0.055,0.027,52.031,0.076,"BAT",5,6,339.25,56.9
67,"091029 ",2.752,11.0,0.85,0.031,0.007,-0.012,0.012,52.254,0.025,"BAT",2,3,60.16667,-55.95353
68,"091127 ",0.49034,1.46,0.16,0.159,0.014,-0.024,0.022,51.578,0.018,"BAT",2,3,36.58279,-18.95239
69,"100414A",1.368,8.4,0.16,0.097,0.003,-0.004,0.004,53.073,0.034,"GBM",3,12,192.125,8.69306
70,"100615A",1.398,8.64,0.43,0.208,0.005,-0.011,0.007,52.234,0.081,"BAT",1,3,177.20521,-19.48117
71,"100621A",0.542,18.26,0.41,0.068,0.002,-0.003,0.002,51.558,0.071,"BAT",3,3,315.30467,-51.10625
72,"100728A",1.567,54.13,0.34,0.137,0.002,-0.004,0.003,52.823,0.044,"BAT",3,33,88.75833,-15.25561
73,"100814A",1.44,30.14,1.15,0.152,0.006,-0.012,0.009,52.103,0.082,"BAT",3,7,22.47337,-17.99544
74,"100816A",0.8049,0.82,0.09,0.009,0.004,-0.006,0.007,51.95,0.063,"BAT",3,1,351.73983,26.5785
75,"100906A",1.727,10.53,0.58,0.088,0.004,-0.007,0.005,52.933,0.047,"BAT",3,7,28.68413,55.6305
76,"110106B",0.618,6.8,0.42,0.161,0.036,-0.064,0.057,51.375,0.099,"BAT",1,4,134.15417,47.00278
77,"110205A",2.22,67.08,1.29,0.14,0.007,-0.013,0.009,52.599,0.051,"BAT",1,14,164.62967,67.52533
78,"110213A",1.46,5.28,0.88,0.072,0.026,-0.043,0.043,52.472,0.077,"BAT",3,1,42.96404,49.27256
79,"110422A",1.77,9.03,0.18,0.043,0.002,-0.003,0.003,53.474,0.023,"BAT",3,7,112.04671,75.10667
80,"110503A",1.613,1.82,0.46,0.015,0.004,-0.007,0.007,53.289,0.027,"BAT",3,1,132.77629,52.20769
81,"110715A",0.82,1.38,0.09,0.017,0.001,-0.002,0.002,52.719,0.022,"BAT",3,2,237.68371,-46.23515
82,"110731A",2.83,3.08,0.07,0.074,0.003,-0.008,0.003,53.509,0.038,"BAT",3,5,280.50412,-28.53717
83,"110801A",1.858,48.24,2.16,0.151,0.04,-0.072,0.058,52.042,0.147,"BAT",1,4,89.43696,80.95586
84,"111008A",4.9898,10.1,1.12,0.091,0.02,-0.038,0.028,53.736,0.052,"BAT",3,4,60.45092,-32.70947
85,"111123A",3.1516,60.0,2.4,0.071,0.015,-0.028,0.021,52.457,0.079,"BAT",1,5,154.84654,-20.64497
86,"111228A",0.71627,8.54,0.2,0.273,0.007,-0.011,0.012,51.754,0.091,"BAT",3,11,150.06683,18.29783
87,"120119A",1.728,12.64,0.35,0.038,0.002,-0.003,0.003,53.014,0.05,"BAT",3,7,120.02892,-9.08162
88,"120326A",1.798,4.28,0.48,0.01,0.004,-0.007,0.007,52.324,0.048,"BAT",1,3,273.90442,69.25983
89,"120327A",2.813,10.3,0.43,0.221,0.013,-0.028,0.016,52.9,0.067,"BAT",1,3,246.86454,-29.41494
90,"120521C",6.0,4.33,0.62,0.037,0.018,-0.03,0.028,53.272,0.073,"BAT",1,1,214.28792,42.14439
91,"120624B",2.1974,41.67,0.39,0.126,0.004,-0.006,0.006,53.297,0.042,"BAT",3,21,170.88325,8.92836
92,"120711A",1.405,14.74,0.16,0.067,0.002,-0.004,0.003,53.236,0.038,"GBM",3,18,94.6785,-70.99911
93,"120712A",4.1745,4.47,0.34,0.081,0.014,-0.023,0.024,52.988,0.076,"BAT",1,3,169.58817,-20.03364
94,"120729A",0.8,6.01,0.55,0.032,0.011,-0.018,0.016,51.758,0.042,"BAT",5,1,13.07433,49.93975
95,"120802A",3.796,4.02,0.57,0.043,0.012,-0.013,0.025,52.975,0.068,"BAT",1,3,44.84183,13.76806
96,"120811C",2.671,5.39,0.77,0.009,0.004,-0.006,0.007,52.485,0.059,"BAT",1,1,199.68258,62.30078
97,"120909A",3.93,33.57,1.5,0.147,0.019,-0.034,0.028,53.449,0.1,"BAT",1,3,275.73671,-59.44858
98,"120922A",3.1,34.87,1.79,0.184,0.026,-0.065,0.018,52.483,0.097,"BAT",1,4,234.74862,-20.18194
99,"121128A",2.2,4.51,0.13,0.203,0.005,-0.011,0.005,53.051,0.039,"BAT",3,11,300.5995,54.29975
100,"130420A",1.297,20.58,2.94,0.034,0.006,-0.009,0.01,51.732,0.057,"BAT",1,3,196.10621,59.42411
101,"130427A",0.3399,5.81,0.04,0.047,0.0,-0.001,0.001,53.442,0.01,"BAT",3,16,173.13683,27.69894
102,"130514A",3.6,31.36,1.12,0.06,0.008,-0.013,0.014,52.874,0.059,"BAT",1,6,296.28054,-7.97808
103,"130518A",2.488,6.37,0.14,0.033,0.002,-0.003,0.003,54.023,0.045,"GBM",3,5,355.66579,47.46533
104,"130528A",1.25,15.76,0.72,0.12,0.014,-0.024,0.021,52.096,0.028,"BAT",5,9,139.5005,87.30103
105,"130701A",1.155,1.41,0.2,0.027,0.005,-0.006,0.01,52.537,0.038,"BAT",3,2,357.22937,36.10033
106,"130831A",0.4791,3.73,0.16,0.017,0.003,-0.004,0.007,51.389,0.053,"BAT",3,2,358.62462,29.42989
107,"131030A",1.295,6.93,0.21,0.036,0.002,-0.003,0.002,52.983,0.028,"BAT",3,2,345.06725,-5.36811
108,"131105A",1.686,13.31,0.39,0.238,0.01,-0.021,0.013,52.557,0.07,"GBM",3,4,70.97292,-63.00492
109,"131108A",2.4,4.82,0.13,0.196,0.005,-0.007,0.008,53.985,0.072,"GBM",3,16,156.502,9.66224
110,"140114A",3.0,39.69,3.97,0.087,0.027,-0.045,0.042,52.102,0.111,"BAT",1,3,188.52125,27.95072
111,"140206A",2.73,6.98,0.07,0.132,0.003,-0.004,0.004,53.223,0.013,"BAT",5,11,145.32042,66.76186
112,"140213A",1.2076,4.48,0.15,0.082,0.003,-0.005,0.006,52.65,0.039,"BAT",3,4,105.15492,-73.13725
113,"140304A",5.283,4.05,0.58,0.176,0.02,-0.033,0.032,53.183,0.132,"BAT",1,5,30.64125,33.47442
114,"140419A",3.956,21.21,0.5,0.072,0.004,-0.007,0.005,53.579,0.057,"BAT",3,9,126.98983,46.24036
115,"140423A",3.26,35.8,1.38,0.071,0.012,-0.018,0.02,52.802,0.068,"BAT",1,7,197.27583,49.83842
116,"140508A",1.027,5.78,0.1,0.339,0.005,-0.009,0.007,53.249,0.02,"GBM",3,9,255.46646,46.78042
117,"140512A",0.725,20.74,0.45,0.154,0.006,-0.012,0.009,51.94,0.065,"BAT",3,15,289.37004,-15.09431
118,"140623A",1.92,16.53,0.79,0.197,0.087,-0.172,0.101,51.929,0.084,"GBM",5,4,225.47254,81.19139
119,"140703A",3.14,14.41,1.8,0.045,0.025,-0.04,0.041,52.869,0.089,"GBM",1,2,12.99579,45.1015
120,"140801A",1.32,2.23,0.11,0.144,0.004,-0.009,0.003,52.655,0.042,"GBM",3,9,44.06875,30.938
121,"140808A",3.29,1.39,0.15,0.019,0.005,-0.007,0.01,53.184,0.054,"GBM",3,2,221.22196,49.21464
122,"140907A",1.21,8.7,0.26,0.048,0.016,-0.025,0.028,51.664,0.058,"GBM",1,2,48.14575,46.60478
123,"141004A",0.573,0.46,0.04,0.069,0.011,-0.022,0.013,51.261,0.051,"BAT",1,1,76.73379,12.81947
124,"141028A",2.33,6.73,0.13,0.027,0.003,-0.006,0.004,53.382,0.011,"GBM",5,3,322.60192,-0.23211
125,"141109A",2.993,27.05,1.18,0.113,0.012,-0.022,0.017,52.889,0.056,"BAT",1,4,144.53083,-0.60794
126,"141220A",1.3195,1.91,0.21,0.075,0.018,-0.029,0.03,52.457,0.057,"BAT",3,2,195.06542,32.14644
127,"150206A",2.087,12.66,0.29,0.186,0.006,-0.01,0.009,53.378,0.047,"BAT",3,6,10.07321,-63.18222
128,"150314A",1.758,3.36,0.18,0.024,0.002,-0.003,0.003,53.72,0.021,"BAT",3,3,126.67008,63.83428
129,"150323A",0.593,10.33,0.38,0.06,0.011,-0.018,0.018,51.269,0.113,"BAT",3,3,128.17804,45.46469
130,"150403A",2.06,6.94,0.19,0.058,0.004,-0.006,0.006,53.749,0.031,"BAT",3,3,311.50487,-62.71114
131,"150514A",0.807,1.73,0.09,0.022,0.005,-0.01,0.007,51.916,0.051,"GBM",3,1,74.87687,-60.96861
132,"150821A",0.755,24.75,0.54,0.039,0.003,-0.005,0.004,51.909,0.064,"GBM",3,2,341.91312,-57.89394
133,"151021A",2.33,26.4,1.06,0.071,0.007,-0.011,0.01,53.275,0.055,"BAT",3,7,337.64346,-33.19733
134,"151027A",0.81,12.65,0.33,0.255,0.011,-0.028,0.007,51.888,0.062,"GBM",3,5,272.48696,61.35342
135,"160131A",0.972,23.18,0.43,0.096,0.005,-0.008,0.007,53.032,0.04,"BAT",3,3,78.16796,-7.04983
136,"160629A",3.332,14.03,0.25,0.048,0.007,-0.013,0.01,53.064,0.064,"GBM",3,6,4.86321,76.96733
137,"160804A",0.736,42.72,2.85,0.055,0.015,-0.025,0.024,51.055,0.069,"BAT",5,4,221.63,9.99892
138,"161014A",2.823,5.04,0.29,0.348,0.025,-0.051,0.033,53.025,0.146,"GBM",6,4,332.64758,7.46878
139,"161017A",2.0127,23.0,1.3,0.258,0.013,-0.023,0.02,52.451,0.056,"BAT",1,6,142.76887,43.12639
140,"161117A",1.549,27.78,0.9,0.109,0.002,-0.004,0.002,52.359,0.089,"BAT",7,5,322.05246,-29.61386
141,"161129A",0.645,8.34,0.26,0.192,0.014,-0.024,0.023,51.35,0.385,"BAT",4,6,316.22775,32.13486
142,"170202A",3.645,7.25,0.48,0.22,0.012,-0.025,0.014,53.131,0.063,"BAT",1,3,152.525,5.01667
143,"170214A",2.53,34.34,0.2,0.118,0.002,-0.003,0.002,53.526,0.011,"GBM",5,37,256.34142,-1.88747
144,"170405A",3.51,22.75,1.9,0.16,0.025,-0.037,0.043,53.801,0.068,"BAT",8,7,219.82775,-25.24358
145,"170607A",0.557,10.29,0.33,0.037,0.01,-0.017,0.017,51.442,0.027,"BAT",5,2,7.366,9.24319
146,"170705A",2.01,3.72,0.12,0.059,0.006,-0.011,0.009,52.818,0.027,"GBM",5,5,192.2,17.9
147,"170903A",0.886,6.26,0.28,0.081,0.029,-0.052,0.04,51.462,0.082,"GBM",5,3,254.52592,34.97906
148,"171010A",0.329,29.98,0.06,0.086,0.001,-0.001,0.001,51.978,0.005,"GBM",5,49,66.58087,-10.46331
149,"180314A",1.445,8.34,0.49,0.019,0.009,-0.014,0.014,52.442,0.113,"BAT",9,1,99.26525,-24.49625
150,"180325A",2.248,4.09,0.11,0.036,0.004,-0.005,0.007,53.48,0.05,"BAT",10,3,157.42737,24.46353
151,"180620B",1.1175,26.6,0.7,0.174,0.009,-0.017,0.013,51.973,0.097,"BAT",11,5,357.52112,-57.96242
152,"180624A",2.855,70.56,5.04,0.243,0.04,-0.077,0.054,52.415,0.11,"BAT",1,4,318.0975,-2.33806
153,"180703A",0.668,5.39,0.18,0.063,0.012,-0.022,0.016,52.079,0.028,"GBM",5,1,6.46967,-67.17997
154,"180720B",0.654,11.48,0.17,0.177,0.005,-0.009,0.007,53.318,0.026,"BAT",12,13,0.52912,-2.91883
155,"180728A",0.117,1.84,0.07,0.025,0.001,-0.002,0.002,50.964,0.033,"BAT",13,2,253.56517,-54.04431
156,"181020A",2.938,6.57,0.44,0.048,0.004,-0.008,0.006,53.777,0.046,"BAT",14,5,13.98237,-47.38072
157,"181110A",1.505,31.8,0.5,0.119,0.007,-0.012,0.01,52.154,0.066,"BAT",1,10,302.318,-36.89672
158,"190106A",1.859,13.5,0.54,0.242,0.009,-0.016,0.013,52.575,0.196,"BAT",15,5,29.88012,23.8455
159,"190114C",0.424,3.4,0.04,0.124,0.001,-0.001,0.001,53.049,0.002,"GBM",5,8,54.50492,-26.94661
160,"190324A",1.1715,3.98,0.1,0.1,0.006,-0.011,0.011,52.795,0.051,"BAT",16,5,49.61571,-47.21503
161,"190719C",2.469,20.45,1.01,0.542,0.015,-0.033,0.016,52.548,0.061,"BAT",5,7,240.20625,13.00017
162,"190829A",0.079,4.29,0.07,0.01,0.002,-0.002,0.003,49.773,0.008,"GBM",5,2,44.54379,-8.95756
163,"191221B",1.148,5.05,0.2,0.06,0.007,-0.013,0.012,53.173,0.046,"BAT",17,4,154.82987,-38.15764
164,"200524A",1.256,4.72,0.1,0.061,0.006,-0.011,0.011,52.505,0.028,"GBM",5,5,213.04475,60.90539
165,"200826A",0.748,0.45,0.09,0.063,0.005,-0.008,0.009,52.277,0.027,"GBM",5,1,6.78529,34.02681
166,"200829A",1.25,2.29,0.21,0.011,0.001,-0.001,0.001,54.017,0.028,"BAT",18,3,251.20592,72.32925
167,"201020B",0.804,3.05,0.04,0.092,0.003,-0.006,0.004,52.497,0.01,"GBM",5,10,75.46679,77.06831
168,"201216C",1.1,9.6,0.3,0.058,0.003,-0.004,0.004,53.12,0.029,"BAT",19,5,16.37033,16.51611
169,"210204A",0.876,20.07,0.15,0.074,0.002,-0.004,0.003,52.237,0.009,"GBM",5,6,117.08071,11.4095
170,"210610B",1.1345,18.38,0.71,0.039,0.003,-0.004,0.005,52.879,0.044,"BAT",20,4,243.91862,14.39897
171,"210619B",1.937,9.15,0.12,0.275,0.004,-0.006,0.006,54.637,0.034,"BAT",21,17,319.71829,33.85006
172,"210822A",1.736,4.91,0.12,0.142,0.003,-0.005,0.005,53.847,0.038,"BAT",23,9,304.43746,5.28347
173,"211023A",0.39,23.98,0.12,0.073,0.001,-0.002,0.002,51.444,0.006,"GBM",5,12,72.3,85.3
174,"220101A",4.615,27.36,0.36,0.149,0.003,-0.006,0.006,53.953,0.077,"BAT",24,23,1.35371,31.76881
175,"220107A",1.246,6.03,0.21,0.121,0.009,-0.017,0.012,52.639,0.018,"GBM",5,4,169.807,34.17064
176,"220527A",0.857,2.53,0.05,0.134,0.003,-0.005,0.004,52.734,0.003,"GBM",5,6,323.52792,14.97186
177,"220627A",3.084,44.89,0.67,0.179,0.004,-0.008,0.006,53.079,0.017,"GBM",5,25,201.36879,-32.42625
178,"230204B",2.142,47.57,0.76,0.234,0.005,-0.012,0.006,53.266,0.028,"GBM",5,8,197.64417,-21.71689
179,"230818A",2.42,1.88,0.27,0.216,0.024,-0.041,0.038,53.164,0.131,"BAT",25,2,285.88812,40.89672
180,"230827B",0.887,2.81,0.19,0.064,0.017,-0.034,0.023,52.13,0.067,"GBM",5,3,299.63946,54.46319
181,"231118A",0.8304,2.21,0.28,0.057,0.009,-0.016,0.013,52.536,0.084,"BAT",26,2,,
182,"231215A",2.305,4.99,0.26,0.029,0.003,-0.006,0.005,53.691,0.046,"GBM",27,2,,
183,"240205B",0.824,10.67,0.18,0.312,0.003,-0.004,0.004,52.677,0.051,"BAT",28,11,351.466,-55.123
184,"240218A",6.782,22.78,2.85,0.16,0.02,-0.036,0.029,53.468,0.145,"BAT",29,4,161.79683,1.27633
185,"060614 ",0.1254,24.63,0.34,0.252,0.006,-0.011,0.009,50.461,0.082,"BAT",3,36,320.88392,-53.02669
186,"191019A",0.248,17.89,0.36,0.143,0.007,-0.014,0.01,50.407,0.085,"BAT",4,14,340.02446,-17.328
187,"211211A",0.0763,8.95,0.1,0.173,0.002,-0.003,0.003,51.288,0.007,"BAT",30,49,212.292,27.88856
188,"230307A",0.0646,9.28,0.06,0.076,0.001,-0.001,0.001,51.687,0.01,"GBM",31,54,60.85933,-75.37883
